form	lemma	POS	morph
¶	¶	PONfrt	MORPH=empty
Summaire	sommaire	NOMcom	NOMB.=s|GENRE=m
/	/	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
briefve	bref	ADJqua	NOMB.=s|GENRE=f
declaration	déclaration	NOMcom	NOMB.=s|GENRE=f
d'	de	PRE	MORPH=empty
aucuns	aucun	DETind	NOMB.=p|GENRE=m
lieux	lieu	NOMcom	NOMB.=p|GENRE=m
fort	fort	ADVgen	MORPH=empty
necessaires	nécessaire	ADJqua	NOMB.=p|GENRE=m
a	à	PRE	MORPH=empty
ung	un	NOMcom	NOMB.=s|GENRE=m
chascun	chacun	DETind	NOMB.=s|GENRE=m
Chrestien	chrétien	NOMcom	NOMB.=s|GENRE=m
/	/	PONfbl	MORPH=empty
pour	pour	PRE	MORPH=empty
mettre	mettre	VERinf	MORPH=empty
sa	son	DETpos	PERS.=3|NOMB.=s|GENRE=f
confiance	confiance	NOMcom	NOMB.=s|GENRE=f
en	en	PRE	MORPH=empty
Dieu	Dieu	NOMpro	NOMB.=s|GENRE=m
/	/	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
ayder	aider	VERinf	MORPH=empty
son	son	DETpos	PERS.=3|NOMB.=s|GENRE=m
prochain	prochain	NOMcom	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
Item	item	ADVgen	MORPH=empty
/	/	PONfbl	MORPH=empty
ung	un	DETind	NOMB.=s|GENRE=m
traicte	traite	NOMcom	NOMB.=s|GENRE=m
du	de_le	PRE.DETdef	NOMB.=s|GENRE=m
Purgatoire	purgatoire	NOMcom	NOMB.=s|GENRE=m
nouvellement	nouvellement	ADVgen	MORPH=empty
adjouste	ajouter	VERppe	NOMB.=s|GENRE=m
sur	sur	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
fin	fin	NOMcom	NOMB.=s|GENRE=f
.	.	PONfrt	MORPH=empty
Sainct	saint	ADJqua	NOMB.=s|GENRE=m
Jaques	Jacques	NOMpro	NOMB.=s|GENRE=m
au	à_le	PRE.DETdef	NOMB.=s|GENRE=m
premier	premier	ADJord	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
¶	¶	NOMcom	MORPH=empty
En	en	PRE	MORPH=empty
mansuetude	mansuétude	NOMcom	NOMB.=s|GENRE=f
et	et	CONcoo	MORPH=empty
doulceur	douceur	NOMcom	NOMB.=s|GENRE=f
recevez	recevoir	VERcjg	MODE=imp|PERS.=5|NOMB.=p
la	le	DETdef	NOMB.=s|GENRE=f
parolle	parole	NOMcom	NOMB.=s|GENRE=f
de	de	PRE	MORPH=empty
Dieu	Dieu	NOMpro	NOMB.=s|GENRE=m
/	/	PONfbl	MORPH=empty
laquelle	lequel	PROrel	NOMB.=s|GENRE=f|CAS=n
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
puissante	puir	ADJqua	NOMB.=s|GENRE=f
de	de	PRE	MORPH=empty
sauver	sauver	VERinf	MORPH=empty
voz	votre	DETpos	PERS.=5|NOMB.=p|GENRE=f
ames	âme	NOMcom	NOMB.=p|GENRE=f
