form	lemma	POS	morph
¶	@greek	INJ	MORPH=empty
Articles	article	NOMpro	NOMB.=p|GENRE=f
veritables	véritable	ADJqua	NOMB.=p|GENRE=m
sur	sur	PRE	MORPH=empty
les	le	DETdef	NOMB.=p|GENRE=m
horribles	horrible	NOMcom	NOMB.=p|GENRE=f
/	/	CONcoo	MORPH=empty
grandz	grand	VERcjg	MODE=ind|PERS.=2|NOMB.=p
et	et	CONcoo	MORPH=empty
importables	importable	ADJqua	NOMB.=p|GENRE=m
abuz	abus	NOMcom	NOMB.=p|GENRE=m
de	de	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
Messe	messe	NOMpro	NOMB.=s|GENRE=f
papalle	papal	NOMcom	NOMB.=s|GENRE=f
:	:	PONfbl	MORPH=empty
inventee	inventer	ADJqua	NOMB.=s|GENRE=f
directement	directement	ADVgen	MORPH=empty
contre	contre	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
saincte	saint	NOMcom	NOMB.=s|GENRE=f
Cene	cène	NOMpro	NOMB.=s
de	de	PRE	MORPH=empty
Jesus	Jésus	NOMpro	NOMB.=p|GENRE=m
Christ	Christ	NOMpro	NOMB.=s
.	.	PONfrt	MORPH=empty
Je	je	PROper	PERS.=1|NOMB.=s|CAS=n
invocque	invocquer	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
le	le	DETdef	NOMB.=s|GENRE=m
ciel	ciel	NOMcom	NOMB.=s|GENRE=m
et	et	CONcoo	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
terre	terre	NOMcom	NOMB.=s|GENRE=f
/	/	CONcoo	MORPH=empty
en	en	ADVgen	MORPH=empty
tesmoignage	témoignage	NOMcom	NOMB.=s
de	de	PRE	MORPH=empty
verite	vérité	NOMcom	NOMB.=s|GENRE=m
:	:	PONfbl	MORPH=empty
contre	contre	PRE	MORPH=empty
ceste	ce	DETdem	NOMB.=s|GENRE=f
pompeuse	pompeux	ADJqua	NOMB.=s|GENRE=f
et	et	CONcoo	MORPH=empty
orgueilleuse	orgueilleux	ADJqua	NOMB.=s|GENRE=f
messe	messe	NOMcom	NOMB.=s|GENRE=f
papalle	papal	VERcjg	NOMB.=s
/	/	CONcoo	NOMB.=s
par	par	PRE	MORPH=empty
laquelle	lequel	PROrel	NOMB.=s|GENRE=f
le	le	DETdef	NOMB.=s|GENRE=m
monde	monde	NOMcom	NOMB.=s|GENRE=m
(	(	PONfrt	MORPH=empty
si	si	ADVgen	MORPH=empty
Dieu	Dieu	NOMpro	NOMB.=s|GENRE=m
bien	bien	ADVgen	MORPH=empty
tost	tôt	ADVgen	MORPH=empty
n'	ne	ADVneg	MORPH=empty
y	y	PROadv	MORPH=empty
remedie	remédier	VERcjg	MODE=sub|TEMPS=pst|PERS.=1|NOMB.=s
)	)	PONpdr	MORPH=empty
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
/	/	ADVneg	MORPH=empty
et	et	CONcoo	MORPH=empty
sera	être	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
totallement	totalement	ADVgen	MORPH=empty
ruine	ruine	NOMcom	NOMB.=s|GENRE=f
/	/	CONcoo	MORPH=empty
abysme	abîme	NOMcom	NOMB.=s|GENRE=f
/	/	CONcoo	MORPH=empty
perdu	perdre	VERppe	NOMB.=s|GENRE=m
et	et	CONcoo	MORPH=empty
desole	désoler	NOMcom	NOMB.=s|GENRE=f
:	:	PONfbl	MORPH=empty
quand	quand	CONsub	MORPH=empty
en	en	ADVgen	MORPH=empty
icelle	icelui	NOMcom	NOMB.=s|GENRE=f
nostre	notre	DETpos	PERS.=2|NOMB.=s|GENRE=m
Seigneur	seigneur	NOMcom	NOMB.=s|GENRE=m
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
si	si	ADVgen	MORPH=empty
oultrageusement	outrageusement	ADVgen	MORPH=empty
blaspheme	blasphème	NOMcom	NOMB.=s|GENRE=f
:	:	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m
peuple	peuple	NOMcom	NOMB.=s|GENRE=m
seduict	séduire	ADJqua	NOMB.=s|GENRE=m
et	et	CONcoo	MORPH=empty
aveugle	aveugle	ADJqua	NOMB.=s|GENRE=m
:	:	PONfbl	MORPH=empty
ce	ce	PROdem	NOMB.=s|GENRE=n
que	que	PROrel	MORPH=empty
plus	plus	ADVgen	MORPH=empty
on	on	PROind	PERS.=3|NOMB.=s|CAS=n
ne	ne	ADVneg	MORPH=empty
doibt	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
souffrir	souffrir	VERinf	MORPH=empty
ny	ni	ADVgen	MORPH=empty
endurer	endurer	VERinf	MORPH=empty
.	.	PONfrt	MORPH=empty
Mais	mais	CONcoo	MORPH=empty
affin	afin	NOMcom	NOMB.=s|GENRE=m
que	que	CONsub	MORPH=empty
plus	plus	ADVgen	MORPH=empty
aysement	aisément	ADVgen	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m
cas	cas	NOMcom	NOMB.=s|GENRE=m
soit	être	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
d'	de	PRE	MORPH=empty
ung	un	NOMcom	NOMB.=s|GENRE=m
chascun	chacun	PROind	NOMB.=s|GENRE=m
entendu	entendre	VERppe	NOMB.=s|GENRE=m
:	:	PONfbl	MORPH=empty
par	par	PRE	MORPH=empty
articles	article	NOMcom	NOMB.=p|GENRE=f
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
convient	convenir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
proceder	procéder	VERinf	MORPH=empty
.	.	PONfrt	MORPH=empty
Premierement	premièrement	ADVgen	MORPH=empty
/	/	CONcoo	MORPH=empty
a	à	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
tout	tout	DETind	NOMB.=s|GENRE=m
fidele	fidèle	ADJqua	NOMB.=s|GENRE=f
chrestien	chrétien	NOMcom	NOMB.=s|GENRE=m
/	/	CONcoo	MORPH=empty
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
et	et	CONcoo	MORPH=empty
doibt	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
estre	être	VERinf	MORPH=empty
tres	très	ADVgen	MORPH=empty
certain	certain	ADJqua	NOMB.=s|GENRE=m
que	que	CONsub	MORPH=empty
nostre	notre	DETpos	PERS.=1|NOMB.=s|GENRE=m
Seigneur	seigneur	NOMcom	NOMB.=s|GENRE=m
et	et	CONcoo	MORPH=empty
seul	seul	ADJqua	NOMB.=s|GENRE=m
sauveur	sauveur	NOMcom	NOMB.=s|GENRE=m
Jesus	Jésus	NOMpro	NOMB.=p|GENRE=m
Christ	Christ	NOMpro	NOMB.=s
comme	comme	CONsub	MORPH=empty
grand	grand	ADJqua	NOMB.=s|GENRE=m
evesque	évêque	NOMcom	NOMB.=s|GENRE=f
et	et	CONcoo	MORPH=empty
pasteur	pasteur	NOMcom	NOMB.=s|GENRE=m
eternellement	éternellement	ADVgen	MORPH=empty
ordonne	ordonner	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
de	de	PRE	MORPH=empty
Dieu	Dieu	NOMpro	NOMB.=s|GENRE=m
/	/	NOMpro	MORPH=empty
a	à	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
baille	bailler	VERppe	NOMB.=s|GENRE=f
son	son	DETpos	PERS.=3|NOMB.=s|GENRE=m
corps	corps	NOMcom	NOMB.=s|GENRE=m
/	/	PRE	MORPH=empty
son	son	DETpos	PERS.=3|NOMB.=s|GENRE=m
ame	âme	NOMcom	NOMB.=s|GENRE=f
/	/	PRE	MORPH=empty
sa	son	DETpos	PERS.=3|NOMB.=s|GENRE=f
vie	vie	NOMcom	NOMB.=s|GENRE=f
/	/	CONcoo	NOMB.=s
et	et	CONcoo	MORPH=empty
son	son	DETpos	PERS.=3|NOMB.=s|GENRE=m
sang	sang	NOMcom	NOMB.=s|GENRE=m
pour	pour	PRE	MORPH=empty
nostre	notre	DETpos	PERS.=1|NOMB.=s|GENRE=f
sanctification	sanctification	NOMcom	NOMB.=s|GENRE=f
en	en	PRE	MORPH=empty
sacrifice	sacrifice	NOMcom	NOMB.=s
tres	très	ADVgen	MORPH=empty
parfaict	parfait	ADJqua	NOMB.=s|GENRE=m
:	:	PONfbl	MORPH=empty
lequel	lequel	PROrel	NOMB.=s|GENRE=f
ne	ne	ADVneg	MORPH=empty
peult	pouvoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
/	/	ADVneg	MORPH=empty
et	et	CONcoo	MORPH=empty
ne	ne	ADVneg	MORPH=empty
doibt	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
jamais	jamais	ADVgen	MORPH=empty
estre	être	VERinf	MORPH=empty
reitere	réitérer	VERinf	NOMB.=s
par	par	PRE	MORPH=empty
aucun	aucun	DETind	NOMB.=s|GENRE=m
sacrifice	sacrifice	NOMcom	NOMB.=s|GENRE=m
visible	visible	ADJqua	NOMB.=s|GENRE=m
:	:	PONfbl	MORPH=empty
qui	qui	PROrel	MORPH=empty
ne	ne	ADVneg	MORPH=empty
veult	vouloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
entierement	entièrement	ADVgen	MORPH=empty
renoncer	renoncer	VERinf	MORPH=empty
a	à	VERcjg	PERS.=3|NOMB.=s
iceluy	icelui	ADJqua	NOMB.=s|GENRE=m
comme	comme	CONsub	MORPH=empty
s'	se	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
estoit	être	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
inefficax	inefficax	ADJqua	NOMB.=s|GENRE=m
/	/	CONcoo	MORPH=empty
insuffisant	insuffisant	VERppa	MORPH=empty
/	/	CONcoo	MORPH=empty
et	et	CONcoo	MORPH=empty
imparfaict	imparfaire	ADJqua	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
Laquelle	lequel	DETind	NOMB.=s|GENRE=f
chose	chose	NOMcom	NOMB.=s|GENRE=f
non	non	ADVgen	MORPH=empty
seulement	seulement	ADVgen	MORPH=empty
dire	dire	VERinf	MORPH=empty
:	:	PONfbl	MORPH=empty
mais	mais	CONcoo	MORPH=empty
aussi	aussi	ADVgen	MORPH=empty
penser	penser	VERinf	MORPH=empty
/	/	CONcoo	MORPH=empty
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
horrible	horrible	ADJqua	NOMB.=s|GENRE=m
/	/	CONcoo	MORPH=empty
et	et	CONcoo	MORPH=empty
execrable	exécrable	ADJqua	NOMB.=s|GENRE=m
blaspheme	blasphème	NOMcom	NOMB.=s|GENRE=f
.	.	PONfrt	MORPH=empty
Et	et	CONcoo	MORPH=empty
toutesfoys	toutefois	VERppa	NOMB.=p
la	le	DETdef	NOMB.=s|GENRE=f
terre	terre	NOMcom	NOMB.=s|GENRE=f
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
este	este	NOMcom	NOMB.=s|GENRE=m
/	/	CONcoo	MORPH=empty
et	et	CONcoo	MORPH=empty
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
encore	encore	ADVgen	MORPH=empty
de	de	PRE	MORPH=empty
present	présent	NOMcom	NOMB.=p|GENRE=m
en	en	ADVgen	MORPH=empty
plusieurs	plusieurs	DETind	NOMB.=p
lieux	lieu	NOMcom	NOMB.=p|GENRE=m
chargee	charger	NOMcom	NOMB.=s|GENRE=m
/	/	CONcoo	MORPH=empty
et	et	CONcoo	MORPH=empty
remplie	remplir	VERppe	NOMB.=s|GENRE=f
de	de	PRE	MORPH=empty
miserables	misérable	ADJqua	NOMB.=p|GENRE=m
sacrificateurs	sacrificateur	NOMcom	NOMB.=p|GENRE=f
:	:	PONfbl	MORPH=empty
lesquelz	lequel	PROrel	NOMB.=p
comme	comme	CONsub	MORPH=empty
s'	se	PROper	PERS.=3
ilz	il	PROper	PERS.=3|NOMB.=s|GENRE=m
estoient	être	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
noz	notre	DETpos	NOMB.=p|GENRE=m
redempteurs	redempteur	NOMcom	NOMB.=p|GENRE=m
se	se	PROper	PERS.=3
mettent	mettre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
au	à_le	PRE.DETdef	NOMB.=s|GENRE=m
lieu	lieu	NOMcom	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
Jesus	Jésus	NOMcom	NOMB.=p|GENRE=m
christ	christ	ADJqua	NOMB.=s|GENRE=m
:	:	PONfbl	MORPH=empty
ou	où	CONcoo	MORPH=empty
se	se	PROper	PERS.=3
font	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
compaignons	compagnon	NOMcom	NOMB.=p
d'	de	PRE	MORPH=empty
iceluy	icelui	NOMcom	NOMB.=p|GENRE=m
/	/	CONcoo	MORPH=empty
disans	dire	VERcjg	NOMB.=p
:	:	PONfbl	MORPH=empty
Qu'	que	CONsub	MORPH=empty
ilz	il	PROper	PERS.=3|NOMB.=p|GENRE=m
offrent	offrir	VERcjg	MODE=sub|PERS.=3|NOMB.=p
a	à	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
Dieu	Dieu	NOMpro	NOMB.=s|GENRE=m
sacrifice	sacrifice	ADJqua	NOMB.=s|GENRE=m
plaisant	plaire	VERppa	GENRE=m
/	/	CONcoo	MORPH=empty
et	et	CONcoo	MORPH=empty
aggreable	agréable	ADJqua	NOMB.=s|GENRE=m
comme	comme	CONsub	MORPH=empty
celuy	celui	PROdem	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
Abraham	Abraham	NOMpro	NOMB.=s|GENRE=m
/	/	NOMpro	MORPH=empty
Isaac	isaac	NOMpro	NOMB.=s|GENRE=m
et	et	CONcoo	MORPH=empty
Jacob	Jacob	NOMpro	NOMB.=s|GENRE=m
/	/	NOMpro	MORPH=empty
pour	pour	PRE	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m
salut	salut	NOMcom	NOMB.=s|GENRE=m
tant	tant	ADVgen	MORPH=empty
des	de_le	DETndf	NOMB.=p|GENRE=m
vivans	vivant	NOMcom	NOMB.=p|GENRE=m
que	que	PROrel	MORPH=empty
des	un	PRE.DETdef	NOMB.=p
trespassez	trépassé	NOMcom	NOMB.=p|GENRE=m
:	:	PONfbl	MORPH=empty
laquelle	lequel	PROrel	NOMB.=s|GENRE=f
chose	chose	NOMcom	NOMB.=s|GENRE=f
ilz	il	PROper	PERS.=3|NOMB.=p|GENRE=m
font	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
apertement	apertement	ADVgen	MORPH=empty
contre	contre	PRE	MORPH=empty
toute	tout	DETind	NOMB.=s|GENRE=f
verite	vérité	NOMcom	NOMB.=s|GENRE=f
de	de	PRE	MORPH=empty
saincte	saint	ADJqua	NOMB.=s|GENRE=f
escripture	écriture	NOMcom	NOMB.=s|GENRE=f
.	.	PONfrt	MORPH=empty
Car	car	CONcoo	MORPH=empty
par	par	PRE	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m
grand	grand	ADJqua	NOMB.=s|GENRE=m
et	et	CONcoo	MORPH=empty
admirable	admirable	ADJqua	NOMB.=s|GENRE=m
sacrifice	sacrifice	NOMcom	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
Jesus	Jésus	NOMpro	NOMB.=p|GENRE=m
christ	christ	NOMpro	NOMB.=s
/	/	NOMpro	MORPH=empty
tout	tout	DETind	NOMB.=s|GENRE=m
sacrifice	sacrifice	ADJqua	NOMB.=s|GENRE=m
exterieur	extérieur	NOMcom	NOMB.=s|GENRE=m
et	et	CONcoo	MORPH=empty
visible	visible	ADJqua	NOMB.=s|GENRE=m
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
aboly	abolir	ADJqua	NOMB.=s|GENRE=f
et	et	CONcoo	MORPH=empty
evacue	évacué	ADJqua	NOMB.=s|GENRE=f
:	:	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
jamais	jamais	ADVgen	MORPH=empty
aultre	autre	NOMcom	NOMB.=s|GENRE=f
n'	ne	ADVneg	MORPH=empty
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
demoure	demeurer	VERppe	NOMB.=s
.	.	PONfrt	MORPH=empty
Ce	ce	PROdem	NOMB.=s|GENRE=n
que	que	PROrel	MORPH=empty
je	je	PROper	PERS.=1|NOMB.=s|CAS=n
dis	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
tres	très	ADVgen	MORPH=empty
amplement	amplement	ADVgen	MORPH=empty
monstre	montrer	NOMcom	NOMB.=s|GENRE=m
en	en	ADVgen	MORPH=empty
l'	le	DETdef	NOMB.=s
epistre	épître	NOMcom	NOMB.=s|GENRE=m
aux	à_le	PRE.DETdef	NOMB.=p|GENRE=m
Hebrieux	hébreu	NOMpro	NOMB.=p|GENRE=m
es	en_le	NOMcom	NOMB.=p
chapitres	chapitre	NOMcom	NOMB.=p|GENRE=f
7	7	ADJcar	NOMB.=p
.	.	PONfrt	MORPH=empty
9	9	INJ	MORPH=empty
.	.	PONfrt	MORPH=empty
et	et	CONcoo	MORPH=empty
.	.	PONfrt	MORPH=empty
10	10	INJ	NOMB.=s
.	.	PONfrt	MORPH=empty
lesquelz	lequel	PROrel	NOMB.=s
