form	lemma	POS	morph
¶	¶	PONfrt	MORPH=empty
Les	le	DETdef	NOMB.=p|GENRE=m
faictz	fait	NOMcom	NOMB.=p|GENRE=m
de	de	PRE	MORPH=empty
Jesus	Jésus	NOMpro	NOMB.=s|GENRE=m
Christ	Christ	NOMpro	NOMB.=s|GENRE=m
et	et	CONcoo	MORPH=empty
du	de_le	PRE.DETdef	NOMB.=s|GENRE=m
Pape	pape	NOMcom	NOMB.=s|GENRE=m
/	/	PONfbl	MORPH=empty
par	par	PRE	MORPH=empty
lesquelz	lequel	PROrel	NOMB.=p|GENRE=m|CAS=i
chascun	chacun	PROind	NOMB.=s|GENRE=m|CAS=n
pourra	pouvoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
facilement	facilement	ADVgen	MORPH=empty
congnoistre	connaître	VERinf	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
grande	grand	ADJqua	NOMB.=s|GENRE=f
difference	différence	NOMcom	NOMB.=s|GENRE=f
de	de	PRE	MORPH=empty
entre	entre	PRE	MORPH=empty
eulx	il	PROper	PERS.=6|NOMB.=p|GENRE=m|CAS=r
:	:	PONfbl	MORPH=empty
nouvellement	nouvellement	ADVgen	MORPH=empty
reveuz	revoir	VERppe	NOMB.=p|GENRE=m
/	/	PONfbl	MORPH=empty
corrigez	corrigé	VERppe	NOMB.=p|GENRE=m
/	/	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
augmentez	augmenter	VERppe	NOMB.=p|GENRE=m
/	/	PONfbl	MORPH=empty
selon	selon	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
verite	vérité	NOMcom	NOMB.=s|GENRE=f
de	de	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
saincte	saint	ADJqua	NOMB.=s|GENRE=f
Escripture	écriture	NOMpro	NOMB.=s|GENRE=f
/	/	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
des	de_le	PRE.DETdef	NOMB.=p|GENRE=m
droictz	droit	NOMcom	NOMB.=p|GENRE=m
canons	canon	ADJqua	NOMB.=p|GENRE=m
/	/	PONfbl	MORPH=empty
par	par	PRE	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m
lecteur	lecteur	NOMcom	NOMB.=s|GENRE=m
du	de_le	PRE.DETdef	NOMB.=s|GENRE=m
sainct	saint	ADJqua	NOMB.=s|GENRE=m
Palais	palais	NOMpro	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
¶	¶	PONfrt	MORPH=empty
Eusebius	@latin	ETR	MORPH=empty
ad	@latin	ETR	MORPH=empty
Lectorem	@latin	ETR	MORPH=empty
in	@latin	ETR	MORPH=empty
Antithesin	@latin	ETR	MORPH=empty
Christi	@latin	ETR	MORPH=empty
et	@latin	ETR	MORPH=empty
Antichristi	@latin	ETR	MORPH=empty
.	.	PONfrt	MORPH=empty
Quam	@latin	ETR	MORPH=empty
male	@latin	ETR	MORPH=empty
conveniant	@latin	ETR	MORPH=empty
cum	@latin	ETR	MORPH=empty
Christi	@latin	ETR	MORPH=empty
pectore	@latin	ETR	MORPH=empty
Jesu	@latin	ETR	MORPH=empty
.	.	PONfrt	MORPH=empty
Pontificum	@latin	ETR	MORPH=empty
mores	@latin	ETR	MORPH=empty
:	:	PONfbl	MORPH=empty
iste	@latin	ETR	MORPH=empty
libellus	@latin	ETR	MORPH=empty
