form	lemma	POS	morph
¶	¶	PONfrt	MORPH=empty
Declaration	déclaration	NOMcom	NOMB.=s|GENRE=f
de	de	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
Messe	messe	NOMcom	NOMB.=s|GENRE=f
/	/	PONfbl	MORPH=empty
Le	le	DETdef	NOMB.=s|GENRE=m
fruict	fruit	NOMcom	NOMB.=s|GENRE=m
d'	de	PRE	MORPH=empty
icelle	cil	PROdem	PERS.=3|NOMB.=s|GENRE=f|CAS=i
/	/	PONfbl	MORPH=empty
La	le	PROper	NOMB.=s|GENRE=f
cause	cause	NOMcom	NOMB.=s|GENRE=f
/	/	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m
moyen	moyen	NOMcom	NOMB.=s|GENRE=m
/	/	PONfbl	MORPH=empty
pourquoy	pourquoi	ADVint	MORPH=empty
et	et	CONcoo	MORPH=empty
comment	comment	ADVint	MORPH=empty
on	on	PROper	PERS.=3|NOMB.=s|GENRE=x|CAS=n
la	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=r
doibt	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
maintenir	maintenir	VERinf	MORPH=empty
.	.	PONfrt	MORPH=empty
Jesus	Jésus	NOMpro	NOMB.=s|GENRE=m
dit	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
.	.	PONfrt	MORPH=empty
Jehan	Jean	NOMpro	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
vi	@card	PROcar	NOMB.=s|GENRE=x|CAS=n
.	.	PONfrt	MORPH=empty
Je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
suis	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
le	le	DETdef	NOMB.=s|GENRE=m
pain	pain	NOMcom	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
vie	vie	NOMcom	NOMB.=s|GENRE=f
.	.	PONfrt	MORPH=empty
Qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
vient	venir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
a	à	PRE	MORPH=empty
moy	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i
/	/	PONfbl	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
n'	ne	ADVneg	MORPH=empty
aura	avoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
point	point	ADVneg	MORPH=empty
faim	faim	NOMcom	NOMB.=s|GENRE=m
:	:	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
croit	croire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
en	en	PRE	MORPH=empty
moy	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i
/	/	PONfbl	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
n'	ne	ADVneg	MORPH=empty
aura	avoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
jamais	jamais	ADVgen	MORPH=empty
soif	soif	NOMcom	NOMB.=s|GENRE=f
.	.	PONfrt	MORPH=empty
Cephas	Cephas	NOMpro	NOMB.=s|GENRE=m
Geranius	géranius	NOMpro	NOMB.=p|GENRE=m
aux	à_le	PRE.DETdef	NOMB.=p|GENRE=m
lecteurs	lecteur	NOMcom	NOMB.=p|GENRE=m
.	.	PONfrt	MORPH=empty
S	@abr	OUT	MORPH=empty
.	.	PONfrt	MORPH=empty
¶	¶	PONfrt	MORPH=empty
Apres	après	PRE	MORPH=empty
avoir	avoir	VERinf	MORPH=empty
considere	considérer	VERppe	NOMB.=x|GENRE=x
le	le	DETdef	NOMB.=s|GENRE=m
grand	grand	ADJqua	NOMB.=s|GENRE=m
et	et	CONcoo	MORPH=empty
horrible	horrible	ADJqua	NOMB.=s|GENRE=m
blaspheme	blasphème	NOMcom	NOMB.=s|GENRE=m
estre	être	VERinf	MORPH=empty
a	à	PRE	MORPH=empty
present	présent	NOMcom	NOMB.=s|GENRE=m
commis	commettre	VERppe	NOMB.=s|GENRE=m
contre	contre	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
saincte	saint	ADJqua	NOMB.=s|GENRE=f
institution	institution	NOMcom	NOMB.=s|GENRE=f
de	de	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
cene	cène	NOMcom	NOMB.=s|GENRE=f
de	de	PRE	MORPH=empty
Jesus	Jésus	NOMpro	NOMB.=s|GENRE=m
Christ	Christ	NOMpro	NOMB.=s|GENRE=m
/	/	PONfbl	MORPH=empty
au	à_le	PRE.DETdef	NOMB.=s|GENRE=m
lieu	lieu	NOMcom	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
laquelle	lequel	PROrel	NOMB.=s|GENRE=f|CAS=i
nous	nous	PROper	PERS.=4|NOMB.=p|GENRE=m|CAS=i
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
proposee	proposer	VERppe	NOMB.=s|GENRE=f
chose	chose	NOMcom	NOMB.=s|GENRE=f
feincte	feint	ADJqua	NOMB.=s|GENRE=f
et	et	CONcoo	MORPH=empty
controuvee	controuver	VERppe	NOMB.=s|GENRE=f
au	à_le	PRE.DETdef	NOMB.=s|GENRE=m
grand	grand	ADJqua	NOMB.=s|GENRE=m
deshonneur	déshonneur	NOMcom	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
Jesus	Jésus	NOMpro	NOMB.=s|GENRE=m
Christ	Christ	NOMpro	NOMB.=s|GENRE=m
et	et	CONcoo	MORPH=empty
de	de	PRE	MORPH=empty
son	son	DETpos	PERS.=3|NOMB.=s|GENRE=m
eglise	église	NOMcom	NOMB.=s|GENRE=m
/	/	PONfbl	MORPH=empty
avons	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=4|NOMB.=s
obtenu	obtenir	VERppe	NOMB.=s|GENRE=m
ce	ce	DETdem	NOMB.=s|GENRE=m
present	présent	ADJqua	NOMB.=s|GENRE=m
livre	livrer	NOMcom	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
son	son	DETpos	PERS.=3|NOMB.=s|GENRE=m
autheur	auteur	NOMcom	NOMB.=s|GENRE=m
/	/	PONfbl	MORPH=empty
affin	afin	CONcoo	MORPH=empty
de	de	PRE	MORPH=empty
povoir	pouvoir	VERinf	MORPH=empty
subvenir	subvenir	VERinf	MORPH=empty
a	à	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
simplicite	simplicité	NOMpro	NOMB.=s|GENRE=f
et	et	CONcoo	MORPH=empty
ignorance	ignorance	NOMcom	NOMB.=s|GENRE=f
d'	de	PRE	MORPH=empty
aucuns	aucun	ADJind	NOMB.=p|GENRE=m
:	:	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
rebouter	rebouter	VERinf	MORPH=empty
l'	le	DETdef	NOMB.=s|GENRE=m
abuz	abus	NOMcom	NOMB.=s|GENRE=m
et	et	CONcoo	MORPH=empty
temeraire	téméraire	ADJqua	NOMB.=s|GENRE=f
assertion	assertion	NOMcom	NOMB.=s|GENRE=f
des	de_le	PRE.DETdef	NOMB.=p|GENRE=m
autres	autre	PROind	NOMB.=p|GENRE=m
.	.	PONfrt	MORPH=empty
Mais	mais	CONcoo	MORPH=empty
pour	pour	PRE	MORPH=empty
autant	autant	ADVgen	MORPH=empty
que	que	CONsub	MORPH=empty
ledict	ledit	DETcom	NOMB.=s|GENRE=m
traicte	traite	NOMcom	NOMB.=s|GENRE=m
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
submis	subment	VERppe	NOMB.=s|GENRE=m
au	à_le	PRE.DETdef	NOMB.=s|GENRE=m
jugement	jugement	NOMcom	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
tous	tout	PROind	NOMB.=p|GENRE=m|CAS=i
/	/	PONfbl	MORPH=empty
entre	entre	PRE	MORPH=empty
lesquelz	lequel	PROrel	NOMB.=p|GENRE=m|CAS=i
grande	grand	ADJqua	NOMB.=s|GENRE=f
variete	variété	NOMcom	NOMB.=s|GENRE=f
y	y	PROadv	MORPH=empty
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
:	:	PONfbl	MORPH=empty
nous	nous	PROper	PERS.=4|NOMB.=p|GENRE=m|CAS=n
prions	prier	VERcjg	MODE=ind|TEMPS=pst|PERS.=4|NOMB.=p
tous	tout	DETind	NOMB.=p|GENRE=m
amateurs	amateur	NOMcom	NOMB.=p|GENRE=m
de	de	PRE	MORPH=empty
verite	vérité	NOMcom	NOMB.=s|GENRE=f
/	/	PONfbl	MORPH=empty
de	de	PRE	MORPH=empty
ne	ne	ADVneg	MORPH=empty
donner	donner	VERinf	MORPH=empty
sentence	sentence	NOMcom	NOMB.=s|GENRE=f
a	à	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
vollee	volée	NOMcom	NOMB.=s|GENRE=f
/	/	PONfbl	MORPH=empty
comme	comme	CONsub	MORPH=empty
voulant	vouloir	VERppa	NOMB.=s|GENRE=m
estimer	estimer	VERinf	MORPH=empty
du	de_le	PRE.DETdef	NOMB.=s|GENRE=m
tiltre	titre	NOMcom	NOMB.=s|GENRE=m
ou	ou	CONcoo	MORPH=empty
d'	de	PRE	MORPH=empty
une	un	DETndf	NOMB.=s|GENRE=f
portion	portion	NOMcom	NOMB.=s|GENRE=f
le	le	DETdef	NOMB.=s|GENRE=m
totage	totage	NOMcom	NOMB.=s|GENRE=m
du	de_le	PRE.DETdef	NOMB.=s|GENRE=m
livre	livre	NOMcom	NOMB.=s|GENRE=m
/	/	PONfbl	MORPH=empty
mais	mais	CONcoo	MORPH=empty
premierement	premièrement	ADVgen	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m
tout	tout	NOMcom	NOMB.=s|GENRE=m
lire	lire	VERinf	MORPH=empty
/	/	PONfbl	MORPH=empty
entendre	entendre	VERinf	MORPH=empty
et	et	CONcoo	MORPH=empty
examiner	examiner	VERinf	MORPH=empty
/	/	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
ce	ce	PROdem	NOMB.=s|GENRE=n
par	par	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
saincte	saint	ADJqua	NOMB.=s|GENRE=f
escripture	écriture	NOMcom	NOMB.=s|GENRE=f
/	/	PONfbl	MORPH=empty
par	par	PRE	MORPH=empty
laquelle	lequel	PROrel	NOMB.=s|GENRE=f|CAS=i
toute	tout	DETind	NOMB.=s|GENRE=f
chose	chose	NOMcom	NOMB.=s|GENRE=f
se	se	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=r
doibt	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
rigler	régler	VERinf	MORPH=empty
/	/	PONfbl	MORPH=empty
estimer	estimer	VERinf	MORPH=empty
/	/	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
peser	peser	VERinf	MORPH=empty
:	:	PONfbl	MORPH=empty
puis	puis	VERcjg	MODE=ind
en	en	PROadv	MORPH=empty
juger	juger	VERinf	MORPH=empty
.	.	PONfrt	MORPH=empty
Autrement	autrement	ADVgen	MORPH=empty
comme	comme	CONsub	MORPH=empty
dit	dire	VERppe	MODE=ind|NOMB.=s
le	le	DETdef	NOMB.=s|GENRE=m
Jurisconsulte	jurisconsulte	NOMpro	NOMB.=s|GENRE=m
au	à_le	PRE.DETdef	NOMB.=s|GENRE=m
traicte	traite	NOMcom	NOMB.=s|GENRE=m
de	@latin	OUT	MORPH=empty
legibus	@latin	OUT	MORPH=empty
C'	ce	PROdem	NOMB.=s|GENRE=n
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
chose	chose	NOMcom	NOMB.=s|GENRE=f
incivile	incivil	ADJqua	NOMB.=s|GENRE=f
/	/	PONfbl	MORPH=empty
sans	sans	PRE	MORPH=empty
avoir	avoir	VERinf	MORPH=empty
veu	voir	VERppe	NOMB.=x|GENRE=x
toute	tout	DETind	NOMB.=s|GENRE=f
la	le	DETdef	NOMB.=s|GENRE=f
loy	loi	NOMcom	NOMB.=s|GENRE=f
/	/	PONfbl	MORPH=empty
de	de	PRE	MORPH=empty
juger	juger	VERinf	MORPH=empty
ou	ou	CONcoo	MORPH=empty
respondre	répondre	VERinf	MORPH=empty
par	par	PRE	MORPH=empty
une	un	DETndf	NOMB.=s|GENRE=f
partie	partie	NOMcom	NOMB.=s|GENRE=f
d'	de	PRE	MORPH=empty
icelle	cil	PROdem	PERS.=3|NOMB.=s|GENRE=f|CAS=i
.	.	PONfrt	MORPH=empty
Aussi	aussi	ADVgen	MORPH=empty
sainct	saint	ADJqua	NOMB.=s|GENRE=m
Hilaire	Hilaire	NOMpro	NOMB.=s|GENRE=m
au	à_le	PRE.DETdef	NOMB.=s|GENRE=m
livre	livre	NOMcom	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
trinite	trinité	NOMcom	NOMB.=s|GENRE=f
supplie	supplier	VERppe	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
/	/	PONfbl	MORPH=empty
qu'	que	PROrel	NOMB.=s|GENRE=m|CAS=r
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
ne	ne	ADVneg	MORPH=empty
soit	être	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
point	point	ADVneg	MORPH=empty
condamne	condamner	VERppe	NOMB.=s|GENRE=m
/	/	PONfbl	MORPH=empty
devant	devant	PRE	MORPH=empty
que	que	CONsub	MORPH=empty
on	on	PROper	PERS.=3|NOMB.=s|GENRE=x|CAS=n
aye	avoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
leu	lire	VERppe	NOMB.=s|GENRE=m
ce	ce	PROdem	NOMB.=s|GENRE=n
qu'	que	PROrel	NOMB.=s|GENRE=n|CAS=r
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
avoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
escript	écrire	VERppe	NOMB.=s|GENRE=n
.	.	PONfrt	MORPH=empty
Au	à_le	PRE.DETdef	NOMB.=s|GENRE=m
surplus	surplus	NOMcom	NOMB.=s|GENRE=m
ne	ne	ADVneg	MORPH=empty
fault	falloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
avoir	avoir	VERinf	MORPH=empty
esgart	égard	NOMcom	NOMB.=s|GENRE=m
aux	à_le	PRE.DETdef	NOMB.=p|GENRE=m
fauteurs	fauteur	NOMcom	NOMB.=p|GENRE=m
de	de	PRE	MORPH=empty
l'	le	DETdef	NOMB.=s|GENRE=f
erreur	erreur	NOMcom	NOMB.=s|GENRE=f
qui	qui	PROrel	NOMB.=s|GENRE=f|CAS=n
cy	ci	ADVgen	MORPH=empty
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
convaincu	convaincre	VERppe	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
Car	car	CONcoo	MORPH=empty
comme	comme	CONsub	MORPH=empty
dit	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
le	le	DETdef	NOMB.=s|GENRE=m
can	@latin	OUT	MORPH=empty
