form	lemma	POS	morph
accord	accord	NOMcom	NOMB.=s|GENRE=m
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
ce	ce	PROdem	NOMB.=s|GENRE=m
voulez	vouloir	VERcjg	PERS.=2|NOMB.=p
entendre	entendre	VERinf	MORPH=empty
.	.	PONfrt	MORPH=empty
¶	¶	PONfrt	MORPH=empty
C'	ce	PROdem	NOMB.=s|GENRE=n
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
un	un	DETndf	NOMB.=s|GENRE=m
ressort	ressort	NOMcom	NOMB.=s|GENRE=m
que	que	PROrel	MORPH=empty
ferez	faire	VERcjg	MODE=ind|PERS.=2|NOMB.=p
par	par	PRE	MORPH=empty
concile	concile	NOMcom	NOMB.=s|GENRE=f
/	/	PONTfbl	MORPH=empty
Non	non	ADVneg	MORPH=empty
general	général	ADJqua	NOMB.=s|GENRE=m
/	/	PONTfbl	MORPH=empty
mais	mais	CONcoo	MORPH=empty
secret	secret	ADJqua	NOMB.=s|GENRE=m
en	en	ADVgen	MORPH=empty
voz	votre	DETpos	NOMB.=p|GENRE=m
salles	salle	NOMcom	NOMB.=p|GENRE=m
/	/	PONTfbl	MORPH=empty
Dans	dans	PRE	MORPH=empty
y	y	PROadv	MORPH=empty
admettre	admettre	VERinf	MORPH=empty
contraire	contraire	ADJqua	NOMB.=s
aux	à_le	PRE.DETdef	NOMB.=p|GENRE=m
Decretalles	décrétale	NOMcom	NOMB.=p|GENRE=m
/	/	PONTfbl	MORPH=empty
Ou	ou	CONcoo	MORPH=empty
autrement	autrement	ADVgen	MORPH=empty
ne	ne	ADVneg	MORPH=empty
vous	vous	PROper	PERS.=2|NOMB.=p
seroit	être	VERcjg	MODE=con|PERS.=3|NOMB.=s
facile	facile	ADJqua	NOMB.=s|GENRE=f
.	.	PONfrt	MORPH=empty
¶	¶	PONfrt	MORPH=empty
Autre	autre	DETind	NOMB.=s
chanson	chanson	NOMcom	NOMB.=s|GENRE=f
contenant	contenir	VERppa	MORPH=empty
une	un	DETndf	NOMB.=s|GENRE=f
partie	partie	NOMcom	NOMB.=s|GENRE=f
des	de_le	PRE.DETdef	NOMB.=p|GENRE=m
dannables	damnable	ADJqua	NOMB.=p|GENRE=f
erreurs	erreur	NOMcom	NOMB.=p|GENRE=f
et	et	CONcoo	MORPH=empty
abusions	abuser	NOMcom	NOMB.=p|GENRE=f
des	de_le	PRE.DETdef	NOMB.=p|GENRE=m
ministres	ministre	NOMcom	NOMB.=p|GENRE=f
de	de	PRE	MORPH=empty
L'	le	PROper	NOMB.=s
antechrist	antéchrist	NOMcom	NOMB.=s
/	/	PONTfbl	MORPH=empty
qui	qui	PROrel	MORPH=empty
ont	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
usurpe	usurper	VERcjg	MODE=sub|PERS.=3|NOMB.=s
le	le	DETdef	NOMB.=s|GENRE=m
nom	nom	NOMcom	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
prebstre	prêtre	VERinf	MORPH=empty
.	.	PONfrt	MORPH=empty
O	ô	INJ	MORPH=empty
Prebstres	prêtre	ADJord	NOMB.=p|GENRE=f
prebstres	prêtre	ADJord	NOMB.=p|GENRE=m
ouyez	ouïr	VERcjg	MODE=imp|TEMPS=pst|PERS.=2|NOMB.=p
