form	lemma	POS	morph
de	de	PRE	MORPH=empty
ne	ne	ADVneg	MORPH=empty
chemiPreface	chemipreface	ADJqua	NOMB.=s
.	.	PONfrt	MORPH=empty
ner	nerf	NOMcom	NOMB.=s|GENRE=m
es	en_le	CONcoo	NOMB.=p
commandemens	commandement	NOMcom	NOMB.=p|GENRE=m
de	de	PRE	MORPH=empty
noz	notre	DETpos	PERS.=2|NOMB.=p|GENRE=m
peres	père	NOMcom	NOMB.=p|GENRE=m
/	/	PONfbl	MORPH=empty
ne	ne	ADVneg	MORPH=empty
garder	garder	VERinf	MORPH=empty
leurs	leur	DETpos	PERS.=3|NOMB.=p|GENRE=f
justices	justice	NOMcom	NOMB.=p|GENRE=f
/	/	PONfbl	MORPH=empty
ne	ne	ADVneg	MORPH=empty
estre	être	VERinf	MORPH=empty
pollutz	pollut	VERcjg	NOMB.=p
en	en	ADVgen	MORPH=empty
leurs	leur	DETpos	PERS.=3|NOMB.=p|GENRE=f
ydoles	idole	NOMcom	NOMB.=p|GENRE=f
/	/	PONfbl	MORPH=empty
pourtant	pourtant	ADVgen	MORPH=empty
qu'	que	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
nostre	notre	DETpos	PERS.=2|NOMB.=s|GENRE=m
dieu	dieu	NOMcom	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
Parquoy	parquoi	PRE.PROrel	NOMB.=s
nous	nous	PROper	PERS.=1|NOMB.=p
debvons	devoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=1|NOMB.=p
cheminer	cheminer	VERinf	MORPH=empty
en	en	PRE	MORPH=empty
ses	son	DETpos	PERS.=3|NOMB.=p|GENRE=f
commandemens	commandement	NOMcom	NOMB.=p|GENRE=m
/	/	PONfbl	MORPH=empty
les	il	PROper	PERS.=3|NOMB.=p|CAS=r
garder	garder	VERinf	MORPH=empty
/	/	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
les	il	PROper	PERS.=3|NOMB.=p|CAS=r
faire	faire	VERinf	MORPH=empty
.	.	PONfrt	MORPH=empty
Donc	donc	ADVgen	MORPH=empty
personne	personne	PROind	NOMB.=s|GENRE=f
ne	ne	ADVneg	MORPH=empty
cherche	chercher	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
icy	ici	ADVgen	MORPH=empty
les	le	DETdef	NOMB.=p|GENRE=m
adjuremens	adjurement	NOMcom	NOMB.=p|GENRE=m
et	et	CONcoo	MORPH=empty
conjurations	conjuration	NOMcom	NOMB.=p|GENRE=f
des	de_le	PRE.DETdef	NOMB.=p|GENRE=m
prestres	prêtre	NOMcom	NOMB.=p|GENRE=f
desquelz	de_lequel	ADJcar	NOMB.=p
ilz	il	PROper	PERS.=3|NOMB.=p|GENRE=m
adjurent	ajourer	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p
le	le	DETdef	NOMB.=s|GENRE=m
diable	diable	NOMcom	NOMB.=s|GENRE=m
:	:	PONfbl	MORPH=empty
comme	comme	CONsub	MORPH=empty
s'	se	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
possedoit	posséder	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
les	le	DETdef	NOMB.=p|GENRE=m
enfans	enfant	NOMcom	NOMB.=p|GENRE=m
/	/	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
qu'	que	PROrel	MORPH=empty
ilz	il	PROper	PERS.=3|NOMB.=p|GENRE=m
fussent	être	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p
demoniacles	démoniacle	ADJqua	NOMB.=p|GENRE=m
/	/	PONfbl	MORPH=empty
veu	voir	VERcjg	MODE=ind|TEMPS=psp|NOMB.=s|GENRE=m
que	que	CONsub	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m
filz	fil	NOMcom	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
dieu	dieu	NOMpro	NOMB.=s|GENRE=m
ne	ne	ADVneg	MORPH=empty
les	il	PROper	PERS.=3|NOMB.=p|CAS=r
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
receu	recevoir	VERppe	NOMB.=s|GENRE=m
en	en	ADVgen	MORPH=empty
telle	tel	DETind	NOMB.=s|GENRE=f
