form	lemma	POS	morph
¶	¶	PONfrt	MORPH=empty
Letres	lettre	NOMcom	NOMB.=p|GENRE=f
certaines	certain	ADJqua	NOMB.=p|GENRE=f
d'	de	PRE	MORPH=empty
aucuns	aucun	DETind	NOMB.=p|GENRE=m
grandz	grand	ADJqua	NOMB.=p|GENRE=m
troubles	trouble	NOMcom	NOMB.=p|GENRE=m
et	et	CONcoo	MORPH=empty
tumultes	tumulte	NOMcom	NOMB.=p|GENRE=m
advenuz	advenir	VERppe	NOMB.=p|GENRE=m
a	à	PRE	MORPH=empty
Geneve	Genève	NOMpro	NOMB.=s|GENRE=x
/	/	PONfbl	MORPH=empty
avec	avec	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
disputation	disputation	NOMcom	NOMB.=s|GENRE=f
faicte	faire	VERppe	NOMB.=s|GENRE=f
l'	le	DETdef	NOMB.=s|GENRE=m
an	an	NOMcom	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
1534	1534	ADJcar	NOMB.=s|GENRE=m|CAS=i
.	.	PONfrt	MORPH=empty
Par	par	PRE	MORPH=empty
monsieur	monsieur	NOMcom	NOMB.=s|GENRE=m
nostre	notre	DETpos	PERS.=4|NOMB.=p|GENRE=m
Maistre	maître	NOMcom	NOMB.=s|GENRE=m
frere	frère	NOMcom	NOMB.=s|GENRE=m
Guy	Guy	NOMpro	NOMB.=s|GENRE=m
Furbiti	Furbiti	NOMpro	NOMB.=s|GENRE=x
/	/	PONfbl	MORPH=empty
docteur	docteur	NOMcom	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
Paris	Paris	NOMpro	NOMB.=s|GENRE=x
en	en	ADVgen	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
faculte	faculté	NOMcom	NOMB.=s|GENRE=f
de	de	PRE	MORPH=empty
theologie	théologie	NOMcom	NOMB.=s|GENRE=f
/	/	PONfbl	MORPH=empty
de	de	PRE	MORPH=empty
l'	le	DETdef	NOMB.=s|GENRE=m
ordre	ordre	NOMcom	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
sainct	saint	NOMcom	NOMB.=s|GENRE=m
Dominicque	Dominique	NOMpro	NOMB.=s|GENRE=m
/	/	PONfbl	MORPH=empty
du	de_le	PRE.DETdef	NOMB.=s|GENRE=m
convent	couvent	NOMcom	NOMB.=s|GENRE=m
des	de_le	PRE.DETdef	NOMB.=p|GENRE=m
freres	frère	NOMcom	NOMB.=p|GENRE=m
prescheurs	prêcheur	ADJqua	NOMB.=p|GENRE=m
de	de	PRE	MORPH=empty
Montmellian	Montmélian	NOMpro	NOMB.=s|GENRE=x
.	.	PONfrt	MORPH=empty
A	à	PRE	MORPH=empty
l'	le	DETdef	NOMB.=s|GENRE=f
encontre	encontre	NOMcom	NOMB.=s|GENRE=f
d'	de	PRE	MORPH=empty
aucuns	aucun	ADJind	NOMB.=p|GENRE=m
qu'	que	PROrel	NOMB.=p|GENRE=m|CAS=r
on	on	PROind	PERS.=3|NOMB.=s|CAS=n
appelle	appeler	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
predicantz	prédicant	NOMcom	NOMB.=p|GENRE=m
/	/	PONfbl	MORPH=empty
qui	qui	PROrel	NOMB.=p|GENRE=m|CAS=n
estoient	être	VERcjg	MODE=ind|TEMPS=ipf|PERS.=6|NOMB.=p
