form	lemma	POS	morph
¶	¶	PONfrt	MORPH=empty
Chansons	chanson	NOMcom	NOMB.=p|GENRE=f
nouvelles	nouveau	ADJqua	NOMB.=p|GENRE=f
demonstrantz	démontrer	VERppe	NOMB.=p|GENRE=f
plusieurs	plusieurs	DETind	NOMB.=p|GENRE=m
erreurs	erreur	NOMcom	NOMB.=p|GENRE=m
et	et	CONcoo	MORPH=empty
faulsetez	fausseté	NOMcom	NOMB.=p|GENRE=f
:	:	PONfbl	MORPH=empty
desquelles	de_lequel	PRE.PROrel	NOMB.=p|GENRE=f
le	le	DETdef	NOMB.=s|GENRE=m
pauvre	pauvre	ADJqua	NOMB.=s|GENRE=m
monde	monde	NOMcom	NOMB.=s|GENRE=m
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
remply	remplir	VERppe	NOMB.=s|GENRE=m
par	par	PRE	MORPH=empty
les	le	DETdef	NOMB.=p|GENRE=m
ministres	ministre	NOMcom	NOMB.=p|GENRE=m
de	de	PRE	MORPH=empty
Satan	satan	NOMpro	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
Matth	Matthieu	NOMpro	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
xv	@card	ADJcard	MORPH=empty
.	.	PONfrt	MORPH=empty
¶	¶	PONfrt	MORPH=empty
Les	le	DETdef	NOMB.=p|GENRE=m
disciples	disciple	NOMcom	NOMB.=p|GENRE=m
dirent	dire	VERcjg	MODE=ind|TEMPS=psp|PERS.=6|NOMB.=p
a	à	PRE	MORPH=empty
Jesus	Jésus	NOMpro	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
N'	ne	ADVneg	MORPH=empty
as	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=s
tu	tu	PROper	PERS.=2|NOMB.=s|GENRE=x|CAS=n
point	point	ADVneg	MORPH=empty
congneu	connaître	VERppe	NOMB.=s|GENRE=m
que	que	CONsub	MORPH=empty
les	le	DETdef	NOMB.=p|GENRE=m
Pharisiens	Pharisien	NOMpro	NOMB.=p|GENRE=m
ont	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=6|NOMB.=p
este	être	VERppe	NOMB.=s|GENRE=m
offensez	offenser	VERppe	NOMB.=p|GENRE=m
oyantz	ouïr	VERppa	NOMB.=p|GENRE=m
ceste	ce	DETdem	NOMB.=s|GENRE=f
parolle	parole	NOMcom	NOMB.=s|GENRE=f
?	?	PONfrt	MORPH=empty
Jesus	Jésus	NOMpro	NOMB.=s|GENRE=m
leur	il	PROper	PERS.=6|NOMB.=p|GENRE=x|CAS=i
respondit	répondre	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
.	.	PONfrt	MORPH=empty
Toute	tout	DETind	NOMB.=s|GENRE=f
plantation	plantation	NOMcom	NOMB.=s|GENRE=f
laquelle	lequel	PROrel	NOMB.=s|GENRE=f
mon	mon	DETpos	PERS.=1|NOMB.=s|GENRE=m
pere	père	NOMcom	NOMB.=s|GENRE=m
celeste	céleste	ADJqua	NOMB.=s|GENRE=m
n'	ne	ADVneg	MORPH=empty
aura	avoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
point	point	ADVneg	MORPH=empty
plante	planter	VERppe	NOMB.=s|GENRE=m
/	/	PONTfbl	MORPH=empty
sera	être	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
arrachee	arracher	VERppe	NOMB.=s|GENRE=f
.	.	PONfrt	MORPH=empty
Laissez	laisser	VERcjg	MODE=imp|PERS.=4|NOMB.=p
les	le	PROper	PERS.=6|NOMB.=p|GENRE=x|CAS=r
ilz	il	PROper	PERS.=6|NOMB.=p|GENRE=m|CAS=n
sont	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=6|NOMB.=p
aveugles	aveugle	ADJqua	NOMB.=p|GENRE=m
/	/	PONTfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
conducteurs	conducteur	NOMcom	NOMB.=p|GENRE=m
des	de_le	PRE.DETdef	NOMB.=p|GENRE=m
aveugles	aveugle	NOMcom	NOMB.=p|GENRE=m
etc	etc	ADVgen	MORPH=empty
.	.	PONfrt	MORPH=empty
¶	¶	PONfrt	MORPH=empty
Chanson	chanson	NOMcom	NOMB.=s|GENRE=f
nouvelle	nouveau	ADJqua	NOMB.=s|GENRE=f
de	de	PRE	MORPH=empty
l'	le	DETdef	NOMB.=s|GENRE=f
origine	origine	NOMcom	NOMB.=s|GENRE=f
/	/	PONTfbl	MORPH=empty
autorite	autorité	NOMcom	NOMB.=s|GENRE=f
/	/	PONTfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
puissance	puissance	NOMcom	NOMB.=s|GENRE=f
de	de	PRE	MORPH=empty
l'	le	DETdef	NOMB.=s|GENRE=f
evangile	évangile	NOMcom	NOMB.=s|GENRE=f
/	/	PONTfbl	MORPH=empty
contre	contre	PRE	MORPH=empty
tous	tout	DETind	NOMB.=p|GENRE=m
ceulx	celui	PROdem	NOMB.=p|GENRE=m
qui	qui	PROrel	NOMB.=p|GENRE=m|CAS=n
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
appellent	appeler	VERcjg	MODE=ind|TEMPS=pst|PERS.=6|NOMB.=p
nouvelle	nouveau	ADJqua	NOMB.=s|GENRE=f
doctrine	doctrine	NOMcom	NOMB.=s|GENRE=f
/	/	PONTfbl	MORPH=empty
Sur	sur	PRE	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m
chant	chant	NOMcom	NOMB.=s|GENRE=m
:	:	PONfbl	MORPH=empty
Je	je	PROper	PERS.=1|NOMB.=s|GENRE=x|CAS=n
ne	ne	ADVneg	MORPH=empty
scay	savoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
