Identifier,Transcription quality,Number of tokens,Annotation quality gold (verified),Annotation quality silver (not verified)Pages,Imprimeur,Titre bref,Auteur,Date,Lieu,Lien fac-similé numérique,Exemplaire
CRRPV03,gold,36 733,,silver,128,[Pierre de Vingle],Instruction des enfans,[Pierre Robert Olivétan],1533,Genève,https://doi.org/10.3931/e-rara-6933,	Genève BGE - BGE Cth 2651 / BGE Bd 1477
CRRPV04,gold,4 906,2 000 tokens (M.),the rest silver,29,[Pierre de Vingle],"Grans pardons et indulgences, le tresgrand Jubile de plainiere remission",[Anonyme],[1533?],[Genève],https://doi.org/10.3931/e-rara-33167,Neuchâtel BPUN - BPUN A.F. C 30
CRRPV08,gold,6 002,,2 000 gold (P.O./M.) and the rest silver,46,[Pierre de Vingle],Livre des marchans,[Antoine Marcourt],1533,[Neuchâtel],https://doi.org/10.3931/e-rara-539,Zurich ZB - Res 1330
CRRPV09,gold,11 497,,1 000 gold (P.O.) and the rest silver,87,Pierre de Vingle,"Maniere et fasson qu'on tient en baillant le sainct baptesme, et en espousant, et à la saincte Cene",[Guillaume Farel],1533,Neuchâtel,https://doi.org/10.3931/e-rara-5945,Genève BGE - BGE Cth 2649 / BGE Bd 1474
CRRPV16,gold,2 510,,1 000 gold (S.) and the rest silver,16,[Pierre de Vingle],Chansons nouvelles demonstrantz plusieurs erreurs et faulsetez,[Matthieu Malingre?],[1534?],[Neuchâtel],https://doi.org/10.3931/e-rara-576,Zurich ZB - Res 1327
CRRPV19,gold,25 693,,1 000 gold (P.O.) and the rest silver,48,[Pierre de Vingle],"Faictz de Jesus Christ et du Pape : nouvellement reveuz, corrigez, et augmentez",[Anonyme],[1534?],[Neuchâtel],https://gallica.bnf.fr/ark:/12148/bd6t53789915t,Paris BPF - ANDRE 1001
CRRPV20,gold,2 035,,silver,1,[Pierre de Vingle],Articles veritables sur les abuz de la Messe papale,[Antoine Marcourt],[1534],[Neuchâtel],https://doc.rero.ch/record/20834,Neuchâtel BPUN - BPUN ZQ 143 / BPUN ZU 292
CRRPV21,gold,13 978,,silver,78,[Pierre de Vingle],Petit traicté tres utile et salutaire de la saincte eucharistie,[Antoine Marcourt],1534,[Neuchâtel],https://dx.doi.org/10.3931/e-rara-6082,Neuchâtel BPUN - BPUN A.F. C 49 D
CRRPV22,gold,17 504,,1 000 gold (P.O.) and the rest silver,96,[Pierre de Vingle],Declaration de la messe,[Antoine Marcourt],[1534],[Neuchâtel],https://doi.org/10.3931/e-rara-33158,Neuchâtel BPUN - BPUN A.F. C 49 B
CRRPV23,gold,35 157,,1 000 gold (P.O.) and the rest silver,208,[Pierre de Vingle],"Summaire, et briefve declaration d'aucuns lieux fort necessaires. Item, ung traicté du Purgatoire",[Guillaume Farel],1534,[Neuchâtel],https://doi.org/10.3931/e-rara-5944,Genève BGE - BGE Cth 2508 / BGE Bc 3379
CRRPV25,gold,19 098,,2 000 gold (M.) and the rest silver,93,[Pierre de Vingle],Letres certaines d'aucuns grandz troubles advenuz à Geneve l'an 1534.,[Guillaume Farel],[1534],[Neuchâtel],https://digitale-sammlungen.de/en/view/bsb10194057,Munich SB - Polem. 1608
