form	lemma	POS	morph
¶	¶	PONfrt	MORPH=empty
Le	le	DETdef	NOMB.=s|GENRE=m
livre	livre	NOMcom	NOMB.=s|GENRE=m
des	de_le	PRE.DETdef	NOMB.=p|GENRE=m
marchans	marchand	NOMcom	NOMB.=p|GENRE=m
/	/	PONfbl	MORPH=empty
fort	fort	ADVgen	MORPH=empty
utile	utile	ADJqua	NOMB.=s|GENRE=m
a	à	PRE	MORPH=empty
toutes	tout	DETind	NOMB.=p|GENRE=f
gens	gens	NOMcom	NOMB.=p|GENRE=f
nouvellement	nouvellement	ADVgen	MORPH=empty
compose	composer	VERppe	NOMB.=s|GENRE=m
par	par	PRE	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m
sire	sire	NOMcom	NOMB.=s|GENRE=m
Pantapole	Pantapole	NOMpro	NOMB.=s|GENRE=m
/	/	PONfbl	MORPH=empty
bien	bien	ADVgen	MORPH=empty
expert	expert	ADJqua	NOMB.=s|GENRE=m
en	en	ADVgen	MORPH=empty
tel	tel	DETind	NOMB.=s|GENRE=m
affaire	affaire	NOMcom	NOMB.=s|GENRE=m
/	/	PONfbl	MORPH=empty
prochain	prochain	ADJqua	NOMB.=s|GENRE=m
voysin	voisin	NOMcom	NOMB.=s|GENRE=m
du	de_le	PRE.DETdef	NOMB.=s|GENRE=m
seigneur	seigneur	NOMcom	NOMB.=s|GENRE=m
Pantagruel	Pantagruel	NOMpro	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
¶	¶	PONfrt	MORPH=empty
Prologue	prologue	NOMpro	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
L'	le	DETdef	NOMB.=s|GENRE=m
auteur	auteur	NOMcom	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
¶	¶	PONfrt	MORPH=empty
Le	le	DETdef	NOMB.=s|GENRE=m
propos	propos	NOMcom	NOMB.=s|GENRE=m
dont	dont	PROrel	NOMB.=s|GENRE=m|CAS=i
a	à	PRE	MORPH=empty
present	présent	ADJqua	NOMB.=s|GENRE=m
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
question	question	NOMcom	NOMB.=s|GENRE=f
/	/	PONfbl	MORPH=empty
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
autant	autant	ADVgen	MORPH=empty
memorable	mémorable	ADJqua	NOMB.=s|GENRE=m
et	et	CONcoo	MORPH=empty
digne	digne	ADJqua	NOMB.=s|GENRE=m
d'	de	PRE	MORPH=empty
estre	être	VERinf	MORPH=empty
congneu	connaître	VERppe	NOMB.=s|GENRE=m
/	/	PONfbl	MORPH=empty
que	que	PROrel	NOMB.=s|GENRE=m|CAS=r
nul	nul	DETind	NOMB.=s|GENRE=m
autre	autre	PROind	PERS.=3|NOMB.=s|GENRE=m|CAS=n
de	de	PRE	MORPH=empty
quoy	quoi	PROrel	NOMB.=s|GENRE=m|CAS=i
on	on	PROind	PERS.=3|NOMB.=s|GENRE=m|CAS=n
sceust	savoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
parler	parler	VERinf	MORPH=empty
/	/	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
si	si	ADVgen	MORPH=empty
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
la	le	DETdef	NOMB.=s|GENRE=f
matiere	matière	NOMcom	NOMB.=s|GENRE=f
de	de	PRE	MORPH=empty
soy	se	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
/	/	PONfbl	MORPH=empty
tant	tant	ADVgen	MORPH=empty
facile	facile	ADJqua	NOMB.=s|GENRE=f
/	/	PONfbl	MORPH=empty
tant	tant	ADVgen	MORPH=empty
claire	clair	ADJqua	NOMB.=s|GENRE=f
/	/	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
veritable	véritable	ADJqua	NOMB.=s|GENRE=f
/	/	PONfbl	MORPH=empty
que	que	PROrel	NOMB.=s|GENRE=f|CAS=r
de	de	PRE	MORPH=empty
toutes	tout	DETind	NOMB.=p|GENRE=f
gens	gens	NOMcom	NOMB.=p|GENRE=f
bien	bien	ADVgen	MORPH=empty
ayseement	aisément	ADVgen	MORPH=empty
sera	être	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
entendue	entendre	VERppe	NOMB.=s|GENRE=m
/	/	PONfbl	MORPH=empty
voire	voire	ADVgen	MORPH=empty
certes	certes	ADVgen	MORPH=empty
/	/	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
des	un	PRE.DETdef	NOMB.=p|GENRE=m
petis	petit	NOMcom	NOMB.=p|GENRE=m
enfans	enfant	NOMcom	NOMB.=p|GENRE=m
/	/	PONfbl	MORPH=empty
soyent	être	VERcjg	MODE=sub|TEMPS=pst|PERS.=6|NOMB.=p
a	à	PRE	MORPH=empty
Paris	Paris	NOMpro	NOMB.=s|GENRE=x
/	/	PONfbl	MORPH=empty
ou	ou	CONcoo	MORPH=empty
a	à	PRE	MORPH=empty
Lyon	Lyon	NOMpro	NOMB.=s|GENRE=x
/	/	PONfbl	MORPH=empty
a	à	PRE	MORPH=empty
Venise	Venise	NOMcom	NOMB.=s|GENRE=x
/	/	PONfbl	MORPH=empty
ou	ou	CONcoo	MORPH=empty
en	en	ADVgen	MORPH=empty
Anvers	Anvers	NOMpro	NOMB.=s|GENRE=x
/	/	PONfbl	MORPH=empty
par	par	PRE	MORPH=empty
tous	tout	DETind	NOMB.=p|GENRE=m
pays	pays	NOMcom	NOMB.=p|GENRE=m
/	/	PONfbl	MORPH=empty
terres	terre	NOMcom	NOMB.=p|GENRE=f
et	et	CONcoo	MORPH=empty
seigneuries	seigneurie	NOMcom	NOMB.=p|GENRE=f
:	:	PONfbl	MORPH=empty
car	car	CONcoo	MORPH=empty
force	force	ADVgen	MORPH=empty
marchans	marcher	NOMcom	NOMB.=p|GENRE=m
y	y	PROadv	MORPH=empty
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
en	en	ADVgen	MORPH=empty
chascun	chacun	DETind	NOMB.=s|GENRE=m
lieu	lieu	NOMcom	NOMB.=s|GENRE=m
/	/	PONfbl	MORPH=empty
parquoy	par_quoi	PROrel	NOMB.=s|GENRE=n|CAS=i
la	le	DETdef	NOMB.=s|GENRE=f
chose	chose	NOMcom	NOMB.=s|GENRE=f
en	en	ADVgen	MORPH=empty
sera	être	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
plus	plus	ADVgen	MORPH=empty
evidente	évident	ADJqua	NOMB.=s|GENRE=f
.	.	PONfrt	MORPH=empty
Brief	bref	NOMpro	NOMB.=s
/	/	PONfbl	MORPH=empty
pour	pour	PRE	MORPH=empty
le	il	DETdef	NOMB.=s|GENRE=m
tout	tout	PROind	NOMB.=s|GENRE=m
dire	dire	VERinf	MORPH=empty
/	/	PONfbl	MORPH=empty
en	en	ADVgen	MORPH=empty
ce	ce	DETdem	NOMB.=s|GENRE=m
livre	livre	NOMcom	NOMB.=s|GENRE=m
/	/	PONfbl	MORPH=empty
il	il	PROimp	PERS.=3|NOMB.=s|GENRE=n|CAS=n
n'	ne	ADVneg	MORPH=empty
y	y	PROadv	MORPH=empty
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
pas	pas	ADVgen	MORPH=empty
une	un	DETndf	NOMB.=s|GENRE=f
difficulte	difficulté	NOMcom	NOMB.=s|GENRE=f
Sorbonicque	sorbonique	ADJqua	NOMB.=s|GENRE=f
.	.	PONfrt	MORPH=empty
Mais	mais	CONcoo	MORPH=empty
seulement	seulement	ADVgen	MORPH=empty
aucuns	aucun	NOMcom	NOMB.=p|GENRE=m
abuz	abus	NOMcom	NOMB.=p|GENRE=m
trop	trop	ADVgen	MORPH=empty
manifestes	manifeste	ADJqua	NOMB.=p|GENRE=m
sont	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
briefvement	brièvement	ADVgen	MORPH=empty
touchez	toucher	VERppe	NOMB.=p|GENRE=m
.	.	PONfrt	MORPH=empty
Et	et	CONcoo	MORPH=empty
pourtant	pourtant	ADVgen	MORPH=empty
qu'	que	CONsub	MORPH=empty
il	il	PROimp	PERS.=3|NOMB.=s|GENRE=n|CAS=n
n'	ne	ADVneg	MORPH=empty
y	y	PROadv	MORPH=empty
ait	avoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
si	si	ADVgen	MORPH=empty
hardy	hardir	ADJqua	NOMB.=s|GENRE=m
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
a	à	PRE	MORPH=empty
l'	le	DETdef	NOMB.=s|GENRE=f
encontre	encontre	VERinf	NOMB.=s|GENRE=f
viengne	venir	NOMcom	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
murmurer	murmurer	VERinf	MORPH=empty
/	/	PONfbl	MORPH=empty
Autrement	autrement	ADVgen	MORPH=empty
ex	@latin	ETR	MORPH=empty
nunc	@latin	ETR	MORPH=empty
prout	@latin	ETR	MORPH=empty
ex	@latin	ETR	MORPH=empty
tunc	@latin	ETR	MORPH=empty
et	@latin	ETR	MORPH=empty
econtra	@latin	ETR	MORPH=empty
/	/	PONfbl	MORPH=empty
c'	ce	PROdem	NOMB.=s|GENRE=n
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
a	à	PRE	MORPH=empty
dire	dire	VERinf	MORPH=empty
/	/	PONfbl	MORPH=empty
des	dès	PRE	MORPH=empty
maintenant	maintenant	ADVgen	MORPH=empty
comme	comme	CONsub	MORPH=empty
alors	alors	ADVgen	MORPH=empty
peremptoirement	péremptoirement	ADVgen	MORPH=empty
il	il	PROimp	PERS.=3|NOMB.=s|GENRE=n|CAS=n
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
cite	citer	VERppe	NOMB.=s|GENRE=n
/	/	PONfbl	MORPH=empty
ad	@latin	ETR	MORPH=empty
diem	@latin	ETR	MORPH=empty
nisi	@latin	ETR	MORPH=empty
etc	@latin	ETR	MORPH=empty
.	.	PONfrt	MORPH=empty
pour	pour	PRE	MORPH=empty
comparoir	comparaître	VERinf	MORPH=empty
en	en	ADVgen	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
presence	présence	NOMcom	NOMB.=s|GENRE=f
de	de	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
haulte	haut	ADJqua	NOMB.=s|GENRE=f
majeste	majesté	NOMcom	NOMB.=s|GENRE=f
du	de_le	PRE.DETdef	NOMB.=s|GENRE=m
preux	preux	NOMcom	NOMB.=s|GENRE=m
et	et	CONcoo	MORPH=empty
venerable	vénérable	ADJqua	NOMB.=s|GENRE=m
seigneur	seigneur	NOMcom	NOMB.=s|GENRE=m
Pantagruel	Pantagruel	NOMpro	NOMB.=s|GENRE=m
/	/	PONfbl	MORPH=empty
lequel	lequel	DETrel	NOMB.=s|GENRE=m
droictement	droitement	NOMcom	NOMB.=s|GENRE=m
en	en	ADVgen	MORPH=empty
scaura	savoir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
juger	juger	VERinf	MORPH=empty
:	:	PONfbl	MORPH=empty
car	car	CONcoo	MORPH=empty
autresfois	autrefois	ADVgen	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
