form	lemma	POS	morph
¶	¶	PONfrt	MORPH=empty
La	le	DETdef	NOMB.=s|GENRE=f
maniere	manière	NOMcom	NOMB.=s|GENRE=f
et	et	CONcoo	MORPH=empty
fasson	façon	NOMcom	NOMB.=s|GENRE=f
qu'	que	CONsub	MORPH=empty
on	on	PROind	NOMB.=s|GENRE=x|CAS=n
tient	tenir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
en	en	ADVgen	MORPH=empty
baillant	bailler	VERppa	NOMB.=s|GENRE=m
le	le	DETdef	NOMB.=s|GENRE=m
sainct	saint	ADJqua	NOMB.=s|GENRE=m
baptesme	baptême	NOMcom	NOMB.=s|GENRE=m
en	en	ADVgen	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
saincte	saint	ADJqua	NOMB.=s|GENRE=f
congregation	congrégation	NOMcom	NOMB.=s|GENRE=f
de	de	PRE	MORPH=empty
dieu	Dieu	NOMpro	NOMB.=s|GENRE=m
:	:	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
en	en	ADVgen	MORPH=empty
espousant	épouser	VERppa	NOMB.=s|GENRE=m
ceulx	celui	PROdem	NOMB.=p|GENRE=m|CAS=r
qui	qui	PROrel	NOMB.=p|GENRE=m|CAS=n
viennent	venir	VERcjg	MODE=ind|TEMPS=pst|PERS.=6|NOMB.=p
au	à_le	PRE.DETdef	NOMB.=s|GENRE=m
sainct	saint	ADJqua	NOMB.=s|GENRE=m
mariage	mariage	NOMcom	NOMB.=s|GENRE=m
/	/	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
a	à	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
saincte	saint	ADJqua	NOMB.=s|GENRE=f
Cene	cène	NOMcom	NOMB.=s|GENRE=f
de	de	PRE	MORPH=empty
nostre	notre	DETpos	PERS.=4|NOMB.=s|GENRE=m
seigneur	seigneur	NOMcom	NOMB.=s|GENRE=m
/	/	PONfbl	MORPH=empty
es	en_le	PRE.DETdef	NOMB.=p|GENRE=m
lieux	lieu	NOMcom	NOMB.=p|GENRE=m
lesquelz	lequel	PROrel	NOMB.=p|GENRE=m|CAS=n
dieu	Dieu	NOMpro	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
sa	son	DETpos	PERS.=3|NOMB.=s|GENRE=f
grace	grâce	NOMcom	NOMB.=s|GENRE=f
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
visite	visiter	VERppe	NOMB.=x|GENRE=x
/	/	PONfbl	MORPH=empty
faisant	faire	VERppa	NOMB.=s|GENRE=m
que	que	CONsub	MORPH=empty
selon	selon	PRE	MORPH=empty
sa	son	DETpos	PERS.=3|NOMB.=s|GENRE=f
saincte	saint	ADJqua	NOMB.=s|GENRE=f
parolle	parole	NOMcom	NOMB.=s|GENRE=f
ce	ce	PROdem	NOMB.=s|GENRE=n|CAS=r
qu'	que	PROrel	NOMB.=s|GENRE=n|CAS=r
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
deffendu	défendre	VERppe	NOMB.=x|GENRE=x
en	en	ADVgen	MORPH=empty
son	son	DETpos	PERS.=3|NOMB.=s|GENRE=f
eglise	église	NOMcom	NOMB.=s|GENRE=f
soit	être	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
rejecte	rejeter	VERppe	NOMB.=s|GENRE=m
/	/	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
ce	ce	PROdem	NOMB.=s|GENRE=n|CAS=r
qu'	que	PROrel	NOMB.=s|GENRE=n|CAS=r
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
commande	commander	VERppe	NOMB.=x|GENRE=x
soit	être	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
tenu	tenir	VERppe	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
Aussi	aussi	ADVgen	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
maniere	manière	NOMcom	NOMB.=s|GENRE=f
comment	comment	ADVsub	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
predication	prédication	NOMcom	NOMB.=s|GENRE=f
commence	commencer	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
/	/	PONfbl	MORPH=empty
moyenne	moyenner	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
et	et	CONcoo	MORPH=empty
finit	finir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
/	/	PONfbl	MORPH=empty
avec	avec	PRE	MORPH=empty
les	le	DETdef	NOMB.=p|GENRE=f
prieres	prière	NOMcom	NOMB.=p|GENRE=f
et	et	CONcoo	MORPH=empty
exhortations	exhortation	NOMcom	NOMB.=p|GENRE=f
qu'	que	PROrel	NOMB.=p|GENRE=f|CAS=r
on	on	PROind	NOMB.=s|GENRE=x|CAS=n
faict	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
a	à	PRE	MORPH=empty
tous	tout	PROind	NOMB.=p|GENRE=m|CAS=i
et	et	CONcoo	MORPH=empty
pour	pour	PRE	MORPH=empty
tous	tout	PROind	NOMB.=p|GENRE=m|CAS=i
/	/	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
de	de	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
visitation	visitation	NOMcom	NOMB.=s|GENRE=f
des	de_le	PRE.DETdef	NOMB.=p|GENRE=m
malades	malade	NOMcom	NOMB.=p|GENRE=m
.	.	PONfrt	MORPH=empty
Chrestiens	chrétien	NOMcom	NOMB.=p|GENRE=m
pour	pour	PRE	MORPH=empty
l'	le	DETdef	NOMB.=s|GENRE=m
honneur	honneur	NOMcom	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
dieu	Dieu	NOMpro	NOMB.=s|GENRE=m
nostre	notre	DETpos	PERS.=4|NOMB.=s|GENRE=m
tres	très	ADVgen	MORPH=empty
bon	bon	ADJqua	NOMB.=s|GENRE=m
pere	père	NOMcom	NOMB.=s|GENRE=m
/	/	PONfbl	MORPH=empty
ne	ne	ADVneg	MORPH=empty
regardez	regarder	VERcjg	MODE=imp|PERS.=5|NOMB.=p
les	le	DETdef	NOMB.=p|GENRE=f
coustumes	coutume	NOMcom	NOMB.=p|GENRE=f
ne	ni	ADVneg	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m
temps	temps	NOMcom	NOMB.=s|GENRE=m
et	et	CONcoo	MORPH=empty
annees	année	ADJqua	NOMB.=p|GENRE=f
/	/	PONfbl	MORPH=empty
ne	ni	ADVneg	MORPH=empty
les	le	DETdef	NOMB.=p|GENRE=m
hommes	homme	NOMcom	NOMB.=p|GENRE=m
/	/	PONfbl	MORPH=empty
ne	ni	ADVneg	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
multitude	multitude	NOMcom	NOMB.=s|GENRE=f
/	/	PONfbl	MORPH=empty
ne	ni	ADVneg	MORPH=empty
l'	le	DETdef	NOMB.=s|GENRE=f
apparence	apparence	NOMcom	NOMB.=s|GENRE=f
que	que	CONsub	MORPH=empty
tout	tout	PROind	NOMB.=s|GENRE=m|CAS=n
peult	pouvoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
avoir	avoir	VERinf	MORPH=empty
/	/	PONfbl	MORPH=empty
soit	être	CONcoo	MORPH=empty
en	en	PRE	MORPH=empty
science	science	NOMcom	NOMB.=s|GENRE=f
/	/	PONfbl	MORPH=empty
vertu	vertu	NOMcom	NOMB.=s|GENRE=f
/	/	PONfbl	MORPH=empty
doctrine	doctrine	NOMcom	NOMB.=s|GENRE=f
/	/	PONfbl	MORPH=empty
sainctete	sainteté	NOMcom	NOMB.=s|GENRE=f
/	/	PONfbl	MORPH=empty
ou	ou	CONcoo	MORPH=empty
autorite	autorité	NOMcom	NOMB.=s|GENRE=f
:	:	PONfbl	MORPH=empty
mesmes	même	ADVgen	MORPH=empty
quant	quand	CONsub	MORPH=empty
ce	ce	PROdem	NOMB.=s|GENRE=n|CAS=n
seroit	être	VERcjg	MODE=con|NOMB.=s|GENRE=m
ung	un	DETind	NOMB.=s|GENRE=m
ange	ange	NOMcom	NOMB.=s|GENRE=m
du	de_le	PRE.DETdef	NOMB.=s|GENRE=m
ciel	ciel	NOMcom	NOMB.=s|GENRE=m
/	/	PONfbl	MORPH=empty
mais	mais	CONcoo	MORPH=empty
seulement	seulement	ADVgen	MORPH=empty
pensez	penser	VERcjg	MODE=imp|PERS.=5|NOMB.=p
/	/	PONfbl	MORPH=empty
regardez	regarder	VERcjg	MODE=imp|PERS.=5|NOMB.=p
/	/	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
diligemment	diligemment	ADVgen	MORPH=empty
examinez	examiner	VERcjg	MODE=imp|PERS.=5|NOMB.=p
ce	ce	PROdem	NOMB.=s|GENRE=n|CAS=r
que	que	CONsub	NOMB.=s|GENRE=n|CAS=r
le	le	DETdef	NOMB.=s|GENRE=m
bon	bon	ADJqua	NOMB.=s|GENRE=m
sauveur	sauveur	NOMcom	NOMB.=s|GENRE=m
Jesus	Jésus	NOMpro	NOMB.=s|GENRE=m
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
ordonne	ordonner	VERppe	NOMB.=x|GENRE=x
et	et	CONcoo	MORPH=empty
commande	commandé	VERppe	NOMB.=x|GENRE=x
/	/	PONfbl	MORPH=empty
duquel	de_lequel	PRE.PROrel	NOMB.=s|GENRE=m|CAS=i
le	le	DETdef	NOMB.=s|GENRE=m
pere	père	NOMcom	NOMB.=s|GENRE=m
dit	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
.	.	PONfrt	MORPH=empty
Cestuy	ce	PROdem	NOMB.=s|GENRE=m|CAS=n
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
mon	mon	DETpos	PERS.=1|NOMB.=s|GENRE=m
filz	fils	NOMcom	NOMB.=s|GENRE=m
bien	bien	ADVgen	MORPH=empty
ayme	aimer	VERppe	NOMB.=s|GENRE=m
ouyez	ouïr	VERcjg	MODE=imp|PERS.=5|NOMB.=p
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
.	.	PONfrt	MORPH=empty
Matth	@bible	NOMpro	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
17	@card	PROcar	NOMB.=s|GENRE=m|CAS=n
.	.	PONfrt	MORPH=empty
A	a	VERcjg	NOMB.=s
.	.	PONfrt	MORPH=empty
Nomini	@latin	ETR	MORPH=empty
tuo	@latin	ETR	MORPH=empty
da	@latin	ETR	MORPH=empty
gloriam	@latin	ETR	MORPH=empty
Domine	@latin	ETR	MORPH=empty
.	.	PONfrt	MORPH=empty
Psal	@bible	NOMcom	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
113	@card	PROcar	NOMB.=s|GENRE=m|CAS=n
.	.	PONfrt	MORPH=empty
B	b	INJ	MORPH=empty
.	.	PONfrt	MORPH=empty
Esprouvez	éprouver	VERcjg	MODE=imp|PERS.=5|NOMB.=p
les	le	DETdef	NOMB.=p|GENRE=m
esperitz	esprit	NOMcom	NOMB.=p|GENRE=m
s'	si	CONsub	MORPH=empty
ilz	il	PROper	PERS.=6|NOMB.=p|GENRE=m|CAS=n
sont	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=6|NOMB.=p
de	de	PRE	MORPH=empty
dieu	Dieu	NOMpro	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
1	@card	PROcar	NOMB.=s|GENRE=m|CAS=n
.	.	PONfrt	MORPH=empty
Joã	@bible	NOMpro	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
4	@card	PROcar	NOMB.=s|GENRE=m|CAS=n
.	.	PONfrt	MORPH=empty
A	a	VERcjg	NOMB.=s
.	.	PONfrt	MORPH=empty
Preface	préface	NOMcom	NOMB.=s|GENRE=f
.	.	PONfrt	MORPH=empty
Quant	quand	CONsub	MORPH=empty
nostre	notre	DETpos	PERS.=4|NOMB.=s|GENRE=m
sauveur	sauveur	NOMcom	NOMB.=s|GENRE=m
et	et	CONcoo	MORPH=empty
redempteur	redempteur	NOMcom	NOMB.=s|GENRE=m
conversoit	converser	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
visiblement	visiblement	ADVgen	MORPH=empty
en	en	ADVgen	MORPH=empty
ce	ce	DETdem	NOMB.=s|GENRE=m|CAS=n
monde	monde	NOMcom	NOMB.=s|GENRE=m
/	/	PONfbl	MORPH=empty
au	à_le	PRE.DETdef	NOMB.=s|GENRE=m
temps	temps	NOMcom	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
son	son	DETpos	PERS.=3|NOMB.=s|GENRE=m
humilite	humilité	NOMcom	NOMB.=s|GENRE=f
/	/	PONfbl	MORPH=empty
pour	pour	PRE	MORPH=empty
parfaire	parfaire	VERinf	MORPH=empty
l'	le	DETdef	NOMB.=s|GENRE=f
oeuvre	œuvre	NOMcom	NOMB.=s|GENRE=f
de	de	PRE	MORPH=empty
son	son	DETpos	PERS.=3|NOMB.=s|GENRE=m
pere	père	NOMcom	NOMB.=s|GENRE=m
comme	comme	CONsub	MORPH=empty
luy	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
avoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
este	être	VERppe	NOMB.=x|GENRE=x
commande	commandé	VERppe	NOMB.=x|GENRE=x
/	/	PONfbl	MORPH=empty
secourant	secourir	VERppa	NOMB.=s|GENRE=m
aux	à_le	PRE.DETdef	NOMB.=p|GENRE=m
povres	pauvre	NOMcom	NOMB.=p|GENRE=m
/	/	PONfbl	MORPH=empty
guerissant	guérir	VERppa	NOMB.=s|GENRE=m
les	le	DETdef	NOMB.=p|GENRE=m
malades	malade	NOMcom	NOMB.=p|GENRE=m
/	/	PONfbl	MORPH=empty
preschant	prêcher	VERppa	NOMB.=s|GENRE=m
l'	le	DETdef	NOMB.=s|GENRE=f
annee	année	NOMcom	NOMB.=s|GENRE=f
de	de	PRE	MORPH=empty
grace	grâce	NOMcom	NOMB.=s|GENRE=f
et	et	CONcoo	MORPH=empty
de	de	PRE	MORPH=empty
remission	rémission	NOMcom	NOMB.=s|GENRE=f
/	/	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
comment	comment	ADVsub	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m
pere	père	NOMcom	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
sa	son	DETpos	PERS.=3|NOMB.=s|GENRE=f
tres	très	ADVgen	MORPH=empty
grande	grand	ADJqua	NOMB.=s|GENRE=f
charite	charité	NOMcom	NOMB.=s|GENRE=f
esmeu	émouvoir	VERppe	NOMB.=s|GENRE=m
/	/	PONfbl	MORPH=empty
avoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
donne	donner	VERppe	NOMB.=x|GENRE=x
son	son	DETpos	PERS.=3|NOMB.=s|GENRE=m
seul	seul	ADJqua	NOMB.=s|GENRE=m
filz	fils	NOMcom	NOMB.=s|GENRE=m
pour	pour	PRE	MORPH=empty
sauver	sauver	VERinf	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m
monde	monde	NOMcom	NOMB.=s|GENRE=m
/	/	PONfbl	MORPH=empty
affin	afin	ADVgen	MORPH=empty
que	que	CONsub	MORPH=empty
tous	tout	DETind	NOMB.=p|GENRE=m
ceulx	celui	PROdem	NOMB.=p|GENRE=m|CAS=n
qui	qui	PROrel	NOMB.=p|GENRE=m|CAS=n
croyroyent	croire	VERcjg	MODE=con|PERS.=6|NOMB.=p
en	en	ADVgen	MORPH=empty
luy	il	PROper	PERS.=3|NOMB.=s|CAS=i
eussent	avoir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=6|NOMB.=p
la	le	DETdef	NOMB.=s|GENRE=f
vie	vie	NOMcom	NOMB.=s|GENRE=f
eternelle	éternel	ADJqua	NOMB.=s|GENRE=f
.	.	PONfrt	MORPH=empty
L'	le	DETdef	NOMB.=s|GENRE=m
homicide	homicide	NOMcom	NOMB.=s|GENRE=m
/	/	PONfbl	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m
menteur	menteur	NOMcom	NOMB.=s|GENRE=m
/	/	PONfbl	MORPH=empty
l'	le	PROper	PERS.=3|NOMB.=s|CAS=r
adversaire	adversaire	VERcjg	NOMB.=s
/	/	PONfbl	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m
diable	diable	NOMpro	NOMB.=s|GENRE=m
/	/	PONfbl	MORPH=empty
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
fort	fort	ADVgen	MORPH=empty
resiste	résister	VERppe	NOMB.=x|GENRE=x
par	par	PRE	MORPH=empty
les	le	DETdef	NOMB.=p|GENRE=m
siens	sien	PROpos	PERS.=3|NOMB.=p|GENRE=m|CAS=i
/	/	PONfbl	MORPH=empty
sur	sur	PRE	MORPH=empty
lesquelz	lequel	PROrel	NOMB.=p|GENRE=m|CAS=i
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
avoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
la	le	DETdef	NOMB.=s|GENRE=f
puissance	puissance	NOMcom	NOMB.=s|GENRE=f
et	et	CONcoo	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m
regne	règne	NOMcom	NOMB.=s|GENRE=m
/	/	PONfbl	MORPH=empty
blasmant	blâmer	VERppa	NOMB.=s|GENRE=m
et	et	CONcoo	MORPH=empty
vituperant	vitupérer	VERppa	NOMB.=s|GENRE=m
ce	ce	DETdem	NOMB.=s|GENRE=m
bon	bon	ADJqua	NOMB.=s|GENRE=m
sauveur	sauveur	NOMcom	NOMB.=s|GENRE=m
/	/	PONfbl	MORPH=empty
disant	dire	VERppa	NOMB.=s|GENRE=m
qu'	que	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
estoit	être	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
ung	un	DETind	NOMB.=s|GENRE=m
gourmand	gourmand	ADJqua	NOMB.=s|GENRE=m
et	et	CONcoo	MORPH=empty
yvrongne	ivrogne	ADJqua	NOMB.=s|GENRE=m
/	/	ADVneg	MORPH=empty
amy	ami	NOMcom	NOMB.=s|GENRE=m
des	de_le	PRE.DETdef	NOMB.=p|GENRE=m
publicains	publicain	NOMcom	NOMB.=p|GENRE=m
et	et	CONcoo	MORPH=empty
des	de_le	PRE.DETdef	NOMB.=p|GENRE=m
pecheurs	pêcheur	NOMcom	NOMB.=p|GENRE=m
/	/	PONfbl	MORPH=empty
samaritain	samaritain	NOMcom	NOMB.=s|GENRE=m
/	/	PONfbl	MORPH=empty
hereticque	hérétique	NOMcom	NOMB.=s|GENRE=m
/	/	PONfbl	MORPH=empty
ayant	avoir	VERppa	NOMB.=s|GENRE=m
le	le	DETdef	NOMB.=s|GENRE=m
diable	diable	NOMpro	NOMB.=s|GENRE=m
au	à_le	PRE.DETdef	NOMB.=s|GENRE=m
corps	corps	NOMcom	NOMB.=s|GENRE=m
/	/	PONfbl	MORPH=empty
faisant	faire	VERppa	NOMB.=s|GENRE=m
ce	ce	PROdem	NOMB.=s|GENRE=n|CAS=r
qu'	que	PROrel	NOMB.=s|GENRE=n|CAS=r
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
faisoit	faire	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
par	par	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
vertu	vertu	NOMcom	NOMB.=s|GENRE=f
de	de	PRE	MORPH=empty
Beelzebub	Belzébuth	NOMpro	NOMB.=s|GENRE=m
/	/	PONfbl	MORPH=empty
ung	un	DETind	NOMB.=s|GENRE=m
pecheur	pêcheur	NOMcom	NOMB.=s|GENRE=m
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
transgressoit	transgresser	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
