form	lemma	POS	morph
¶	@greek	PRE	MORPH=empty
L'	le	DETdef	NOMB.=s
instruction	instruction	NOMcom	NOMB.=s|GENRE=f
des	de_le	PRE.DETdef	NOMB.=p
enfans	enfant	NOMcom	NOMB.=p|GENRE=m
/	/	NOMcom	MORPH=empty
contenant	contenir	VERppa	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
maniere	manière	NOMcom	NOMB.=s|GENRE=f
de	de	PRE	MORPH=empty
prononcer	prononcer	VERinf	MORPH=empty
et	et	CONcoo	MORPH=empty
escrire	écrire	VERinf	NOMB.=s
en	en	ADVgen	MORPH=empty
francoys	français	NOMcom	NOMB.=p|GENRE=m
.	.	PONfrt	MORPH=empty
L'	le	DETdef	NOMB.=s
oraison	oraison	NOMcom	NOMB.=s|GENRE=f
de	de	PRE	MORPH=empty
Jesu	Jésu	NOMpro	NOMB.=s|GENRE=m
Christ	Christ	NOMpro	NOMB.=s
.	.	PONfrt	MORPH=empty
Les	le	DETdef	NOMB.=p|GENRE=m
articles	article	NOMcom	NOMB.=p|GENRE=f
de	de	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
foy	foi	NOMcom	NOMB.=s|GENRE=f
.	.	PONfrt	MORPH=empty
Les	le	DETdef	NOMB.=p|GENRE=m
dix	dix	ADJcar	NOMB.=p|GENRE=f
commandemens	commandement	NOMcom	NOMB.=p|GENRE=m
.	.	PONfrt	MORPH=empty
La	le	DETdef	NOMB.=s|GENRE=f
salutation	salutation	NOMcom	NOMB.=s|GENRE=f
angelicque	angélique	ADJqua	NOMB.=s|GENRE=f
.	.	PONfrt	MORPH=empty
Avec	avec	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
declaration	déclaration	NOMcom	NOMB.=s|GENRE=f
d'	de	PRE	MORPH=empty
iceux	icelui	NOMcom	NOMB.=s|GENRE=m
/	/	CONcoo	MORPH=empty
faicte	faire	VERcjg	MODE=ind|TEMPS=pst|NOMB.=s
en	en	ADVgen	MORPH=empty
maniere	manière	NOMcom	NOMB.=s|GENRE=f
de	de	PRE	MORPH=empty
recueil	recueil	NOMcom	NOMB.=s|GENRE=m
/	/	NOMpro	MORPH=empty
des	un	PRE.DETdef	NOMB.=p|GENRE=f
seulles	seule	NOMcom	NOMB.=p|GENRE=f
sentences	sentence	NOMcom	NOMB.=p|GENRE=f
de	de	PRE	MORPH=empty
l'	le	DETdef	NOMB.=s|GENRE=f
escripture	écriture	NOMcom	NOMB.=s|GENRE=f
saincte	saint	ADJqua	NOMB.=s|GENRE=f
.	.	PONfrt	MORPH=empty
Item	item	NOMcom	NOMB.=s
les	le	DETdef	NOMB.=p|GENRE=m
figures	figure	NOMcom	NOMB.=p|GENRE=f
des	de_le	PRE.DETdef	NOMB.=p|GENRE=m
chiphres	chiphre	NOMcom	NOMB.=p|GENRE=f
/	/	CONcoo	MORPH=empty
et	et	CONcoo	MORPH=empty
leurs	leur	DETpos	PERS.=3|NOMB.=p|GENRE=m
valeurs	valeur	NOMcom	NOMB.=p|GENRE=f
.	.	PONfrt	MORPH=empty
Isaie	Isaie	NOMpro	MODE=imp|NOMB.=s
.	.	PONfrt	MORPH=empty
5	5	INJ	MORPH=empty
.	.	PONfrt	MORPH=empty
Mon	mon	DETpos	PERS.=1|NOMB.=s|GENRE=m
peuple	peuple	NOMcom	NOMB.=s|GENRE=m
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
este	être	ADJqua	NOMB.=s|GENRE=m
captif	captif	NOMcom	NOMB.=s|GENRE=m
/	/	CONcoo	MORPH=empty
pourtant	pourtant	ADVgen	MORPH=empty
qu'	que	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
n'	ne	ADVneg	MORPH=empty
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
pas	pas	ADVgen	MORPH=empty
eu	avoir	VERppe	NOMB.=s|GENRE=m
science	science	NOMcom	NOMB.=s|GENRE=f
.	.	PONfrt	MORPH=empty
Psal	psal	NOMcom	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
93	93	ADJcar	NOMB.=p
.	.	PONfrt	MORPH=empty
Seigneur	seigneur	NOMcom	NOMB.=s|GENRE=m
/	/	CONcoo	MORPH=empty
bienheureux	bienheureux	ADJqua	NOMB.=s|GENRE=m
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
l'	le	DETdef	NOMB.=s
homme	homme	NOMcom	NOMB.=s|GENRE=m
/	/	PRE	MORPH=empty
lequel	lequel	PROrel	NOMB.=s|GENRE=f
tu	tu	PROper	PERS.=2|NOMB.=s|CAS=n
corrige	corriger	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=s
/	/	CONcoo	NOMB.=s
et	et	CONcoo	MORPH=empty
luy	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i
enseigne	enseigner	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
ta	ton	DETpos	PERS.=2|NOMB.=s|GENRE=f
loy	loi	PROper	NOMB.=s|GENRE=f|CAS=n
.	.	PONfrt	MORPH=empty
a	a	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
b	b	NOMpro	NOMB.=s|GENRE=m
c	c	PROadv	MORPH=empty
d	d	PONfbl	MORPH=empty
e	e	PONpga	MORPH=empty
f	f	VERppe	NOMB.=s|GENRE=m
g	g	NOMpro	NOMB.=s|GENRE=m
h	h	NOMpro	NOMB.=s
i	i	NOMpro	NOMB.=s
k	k	PONpdr	MORPH=empty
l	l	NOMcom	NOMB.=s
m	m	NOMcom	NOMB.=s
n	n	PROadv	MORPH=empty
o	o	NOMcom	NOMB.=s
p	p	NOMcom	NOMB.=s
q	q	PONfbl	MORPH=empty
r	r	VERppe	NOMB.=s
s	s	CONcoo	MORPH=empty
t	t	NOMcom	MORPH=empty
u	u	ADVneg	NOMB.=s
x	x	PROind	NOMB.=s
y	y	PROadv	MORPH=empty
z	z	NOMcom	NOMB.=s
A	a	PRE	NOMB.=s
B	b	NOMpro	NOMB.=s
C	c	NOMpro	NOMB.=s
D	d	NOMpro	MORPH=empty
E	e	NOMpro	MORPH=empty
F	f	NOMpro	NOMB.=s
G	g	NOMpro	NOMB.=s|GENRE=m
H	h	NOMpro	MORPH=empty
I	1	NOMpro	NOMB.=s|GENRE=m
L	l	NOMpro	MORPH=empty
M	m	NOMcom	NOMB.=s
N	n	ADVgen	MORPH=empty
O	o	INJ	NOMB.=s
P	p	NOMcom	NOMB.=s
Q	q	PONfbl	MORPH=empty
R	r	NOMpro	NOMB.=s
S	s	CONcoo	MORPH=empty
T	t	NOMcom	NOMB.=s
U	u	PROcar	NOMB.=p
X	x	PONpga	MORPH=empty
Y	y	PROadv	MORPH=empty
Z	z	NOMpro	NOMB.=s
A	a	VERcjg	NOMB.=s
B	b	NOMpro	NOMB.=s|GENRE=m
C	c	NOMpro	NOMB.=s
D	d	NOMpro	MORPH=empty
E	e	NOMpro	MORPH=empty
F	f	NOMpro	NOMB.=s
G	g	NOMpro	NOMB.=s|GENRE=m
H	h	NOMpro	MORPH=empty
I	i	NOMpro	NOMB.=s|GENRE=m
K	k	ADVneg	MORPH=empty
L	l	NOMpro	NOMB.=s
M	m	NOMcom	NOMB.=s
N	n	ADVgen	MORPH=empty
O	o	NOMpro	NOMB.=s
P	p	NOMcom	NOMB.=s
Q	q	PONfbl	MORPH=empty
R	r	NOMpro	NOMB.=s
S	s	NOMpro	NOMB.=s
T	t	NOMcom	NOMB.=s
U	u	PROcar	NOMB.=p
X	x	PRE	MORPH=empty
¶	@greek	NOMcom	MORPH=empty
Consonantes	consonantes	NOMpro	NOMB.=p|GENRE=f
.	.	PONfrt	MORPH=empty
b	b	INJ	GENRE=m
c	c	PROadv	MORPH=empty
d	d	PONfbl	MORPH=empty
f	f	VERppe	NOMB.=s|GENRE=m
g	g	NOMpro	NOMB.=s|GENRE=m
k	k	PONpdr	MORPH=empty
l	l	PROper	NOMB.=s
m	m	NOMcom	NOMB.=s
n	n	PROadv	MORPH=empty
p	p	VERcjg	NOMB.=s
q	q	PONfbl	MORPH=empty
r	r	VERppe	NOMB.=s
s	s	ADVneg	MORPH=empty
t	t	PROper	NOMB.=s
z	z	NOMcom	NOMB.=s
¶	@greek	CONcoo	MORPH=empty
