form	lemma	POS	morph
:	:	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
selon	selon	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
sorte	sorte	NOMcom	NOMB.=s|GENRE=f
fault	falloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
le	le	DETdef	NOMB.=s|GENRE=m
payement	paiement	NOMcom	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
En	en	PRE	MORPH=empty
quoy	quoi	PROrel	NOMB.=p
sont	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p
trop	trop	ADVgen	MORPH=empty
abusez	abuser	VERppe	NOMB.=p
pouvres	pauvre	VERppe	NOMB.=p|GENRE=m
gens	gens	NOMcom	NOMB.=p|GENRE=f
:	:	PONfbl	MORPH=empty
car	car	CONcoo	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m
tout	tout	PROind	NOMB.=s|GENRE=m
bien	bien	ADVgen	NOMB.=s
considere	considérer	VERppe	NOMB.=s
/	/	PONfbl	MORPH=empty
tant	tant	ADVgen	MORPH=empty
au	à_le	PRE.DETdef	NOMB.=s|GENRE=m
mort	mort	NOMcom	NOMB.=s|GENRE=m
que	que	PROrel	MORPH=empty
a	à	PRE	MORPH=empty
l'	le	DETdef	NOMB.=s
achepteur	acheteur	NOMcom	NOMB.=s|GENRE=m
l'	le	DETdef	NOMB.=s
ung	un	NOMcom	NOMB.=s|GENRE=m
vault	valoir	VERcjg	MODE=ind|TEMPS=pst|NOMB.=s
autant	autant	ADVgen	MORPH=empty
comme	comme	CONsub	MORPH=empty
l'	le	PROper	PERS.=3|NOMB.=s|CAS=r
aultre	autre	VERinf	NOMB.=s
.	.	PONfrt	MORPH=empty
Du	de_le	PRE.DETdef	NOMB.=s|GENRE=m
mort	mort	NOMcom	NOMB.=s|GENRE=m
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
certain	certain	ADJqua	NOMB.=s|GENRE=m
:	:	PONfbl	MORPH=empty
car	car	CONcoo	MORPH=empty
combien	combien	ADVgen	MORPH=empty
que	que	CONsub	MORPH=empty
on	on	PROind	PERS.=3|NOMB.=s|CAS=n
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
saiche	savoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
fort	fort	ADVgen	MORPH=empty
couvrir	couvrir	VERinf	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
n'	ne	ADVneg	MORPH=empty
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
garde	garde	NOMcom	NOMB.=s|GENRE=f
de	de	PRE	MORPH=empty
suer	suer	VERinf	MORPH=empty
/	/	PONfbl	MORPH=empty
ne	ne	ADVneg	MORPH=empty
pour	pour	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
beaulte	beauté	NOMcom	NOMB.=s|GENRE=f
du	de_le	PRE.DETdef	NOMB.=s|GENRE=m
drap	drap	NOMcom	NOMB.=s|GENRE=m
se	se	PROper	PERS.=3
rire	rire	VERinf	MORPH=empty
ou	ou	CONcoo	MORPH=empty
esmouvoir	émouvoir	VERinf	MORPH=empty
.	.	PONfrt	MORPH=empty
Quant	quant	CONsub	MORPH=empty
au	à_le	PRE.DETdef	NOMB.=s|GENRE=m
pouvre	pauvre	NOMcom	NOMB.=s|GENRE=m
fol	fou	ADJqua	NOMB.=s|GENRE=m
achepteur	acheteur	NOMcom	NOMB.=s|GENRE=m
/	/	PONfbl	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
notoire	notoire	ADJqua	NOMB.=s|GENRE=f
:	:	PONfbl	MORPH=empty
car	car	CONcoo	MORPH=empty
combien	combien	ADVgen	MORPH=empty
qu'	que	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
saiche	savoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
bien	bien	ADVgen	MORPH=empty
payer	payer	VERinf	MORPH=empty
/	/	PONfbl	MORPH=empty
riens	rien	NOMcom	NOMB.=p|GENRE=m
n'	ne	ADVneg	MORPH=empty
en	en	PROadv	MORPH=empty
reporte	reporter	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
que	que	CONsub	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
veue	vue	NOMcom	NOMB.=s|GENRE=f
/	/	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
sera	être	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
lendemain	lendemain	NOMcom	NOMB.=s|GENRE=f
pour	pour	PRE	MORPH=empty
ung	un	NOMcom	NOMB.=s|GENRE=m
