form	lemma	POS	morph
¶	@greek	INJ	MORPH=empty
Petit	petit	DETcar	NOMB.=s
traicte	traite	NOMcom	NOMB.=s|GENRE=f
tres	très	ADVgen	MORPH=empty
utile	utile	ADJqua	NOMB.=s|GENRE=f
/	/	NOMcom	MORPH=empty
et	et	CONcoo	MORPH=empty
salutaire	salutaire	ADJqua	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
saincte	saint	NOMcom	NOMB.=s|GENRE=f
eucharistie	eucharistie	NOMcom	NOMB.=s|GENRE=f
de	de	PRE	MORPH=empty
nostre	notre	DETpos	PERS.=1|NOMB.=s|GENRE=f
Seigneur	seigneur	NOMcom	NOMB.=s|GENRE=m
Jesuchrist	jesuchrist	NOMpro	NOMB.=s
.	.	PONfrt	MORPH=empty
Audiens	audien	ADJqua	NOMB.=p
sapiens	sapien	NOMcom	NOMB.=p|GENRE=m
/	/	CONcoo	MORPH=empty
sapientior	@latin	NOMcom	MORPH=empty
erit	@latin	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
.	.	PONfrt	MORPH=empty
Proverb	Proverb	NOMpro	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
i	i	INJ	MORPH=empty
.	.	PONfrt	MORPH=empty
Aux	à_le	PRE.DETdef	NOMB.=p|GENRE=m
benevoles	benevoles	NOMcom	NOMB.=p|GENRE=m
lecteurs	lecteur	NOMcom	NOMB.=p|GENRE=m
:	:	PONfbl	MORPH=empty
Salut	salut	NOMcom	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
C'	ce	PROdem	NOMB.=s|GENRE=n
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
chose	chose	NOMcom	NOMB.=s|GENRE=f
certaine	certain	ADJqua	NOMB.=s|GENRE=f
et	et	CONcoo	MORPH=empty
quasi	quasi	ADVgen	NOMB.=s
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
tous	tout	PROind	NOMB.=p|GENRE=m
congneue	connaître	VERppe	NOMB.=s
/	/	CONcoo	MORPH=empty
que	que	PROrel	MORPH=empty
quand	quand	CONsub	MORPH=empty
affection	affection	NOMcom	NOMB.=s|GENRE=f
meine	mener	NOMcom	NOMB.=s
et	et	CONcoo	MORPH=empty
conduict	conduit	VERcjg	NOMB.=s
le	le	DETdef	NOMB.=s|GENRE=m
jugement	jugement	NOMcom	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
l'	le	DETdef	NOMB.=s|GENRE=f
homme	homme	NOMcom	NOMB.=s|GENRE=m
:	:	PONfbl	MORPH=empty
iceluy	icelui	ADJqua	NOMB.=s|GENRE=m
