form	lemma	POS	morph
¶	¶	PONfrt	MORPH=empty
Les	le	DETdef	NOMB.=p|GENRE=m
grans	grand	ADJqua	NOMB.=p|GENRE=m
pardons	pardon	NOMcom	NOMB.=p|GENRE=m
et	et	CONcoo	MORPH=empty
indulgences	indulgence	NOMcom	NOMB.=p|GENRE=f
/	/	PONfbl	MORPH=empty
le	le	DETdef	NOMB.=s|GENRE=m
tres	très	ADVgen	MORPH=empty
grand	grand	ADJqua	NOMB.=s|GENRE=m
Jubile	jubilé	NOMcom	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
plainiere	plainière	ADJqua	NOMB.=s|GENRE=f
remission	rémission	NOMcom	NOMB.=s|GENRE=f
de	de	PRE	MORPH=empty
peine	peine	NOMcom	NOMB.=s|GENRE=f
et	et	CONcoo	MORPH=empty
de	de	PRE	MORPH=empty
coulpe	coulpe	NOMcom	NOMB.=s|GENRE=f
a	à	PRE	MORPH=empty
tous	tout	DETind	NOMB.=p|GENRE=m
les	le	DETdef	NOMB.=p|GENRE=m
confraires	confrère	NOMcom	NOMB.=p|GENRE=m
de	de	PRE	MORPH=empty
la	le	DETdef	NOMB.=s|GENRE=f
tres	très	ADVgen	MORPH=empty
sacree	sacré	ADJqua	NOMB.=s|GENRE=f
confrairie	confrérie	NOMcom	NOMB.=s|GENRE=f
du	de_le	PRE.DETdef	NOMB.=s|GENRE=m
sainct	saint	ADJqua	NOMB.=s|GENRE=m
esperit	esprit	NOMcom	NOMB.=s|GENRE=m
:	:	PONfbl	MORPH=empty
que	que	PROrel	NOMB.=s|GENRE=m|CAS=r
nostre	notre	DETpos	PERS.=4|NOMB.=s|GENRE=m
sainct	saint	ADJqua	NOMB.=s|GENRE=m
pere	père	NOMcom	NOMB.=s|GENRE=m
paravant	paravent	ADVgen	MORPH=empty
avoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
promis	promettre	VERppe	NOMB.=s|GENRE=m
par	par	PRE	MORPH=empty
ses	son	DETpos	PERS.=3|NOMB.=p|GENRE=m
sainctz	saint	ADJqua	NOMB.=p|GENRE=m
prophetes	prophète	NOMcom	NOMB.=p|GENRE=m
,	,	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
ordonne	ordonner	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
et	et	CONcoo	MORPH=empty
conferme	confirmer	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
par	par	PRE	MORPH=empty
nostre	notre	DETpos	PERS.=4|NOMB.=s|GENRE=m
seigneur	seigneur	NOMcom	NOMB.=s|GENRE=m
Jesuchrist	jésuchrist	NOMpro	MORPH=empty
son	son	DETpos	PERS.=3|NOMB.=s|GENRE=m
seul	seul	ADJqua	NOMB.=s|GENRE=m
et	et	CONcoo	MORPH=empty
tres	très	ADVgen	MORPH=empty
ayme	aimer	VERppe	NOMB.=s|GENRE=m
filz	fils	NOMcom	NOMB.=s|GENRE=m
/	/	PONfbl	MORPH=empty
et	et	CONcoo	MORPH=empty
de	de	PRE	MORPH=empty
rechief	rechef	NOMcom	NOMB.=s|GENRE=m
veult	vouloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
qu'	que	CONsub	MORPH=empty
on	on	PROind	PERS.=3|NOMB.=s|CAS=n
publie	publier	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
